variant,profile,research_only,capital,round_lot,max_positions,max_tranches,target_universe_size,cash_reserve_ratio,max_new_positions_per_day,max_adds_per_day,annual_return,cumulative_return,max_drawdown,sharpe,total_trades,buy_trades,sell_trades,average_cash_ratio,avg_daily_exposure,max_exposure,average_positions,max_positions_used,turnover,total_fees,total_tax,realized_pnl,executable_buy_count,strategy_eligible_count,account_actionable_buy_count,watch_only_count,executable_account_actionable_ratio,executable_strategy_eligible_ratio,industry_concentration_max,top_block_or_watch_reasons,auto_trading_approved,broker_integration_enabled,llm_decision_allowed,passes_hard_conditions
mp6_tr1_tu8_cr15_add0,combined_v2_50k_compact,True,50000.0,100,6,1,8,0.15,1,0,0.07312528030495313,0.2254692482530003,-0.10615968250359986,0.681377699668382,20,12,8,0.34360432075321207,0.6563956792467879,0.796237897909835,5.4366391184573,6,2.63883924,39.5825886,28.987998750000003,8687.007702000003,12,240,12,228,1.0,0.05,1.0,"{'WATCH_ONLY_PORTFOLIO_FULL': 163, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 39, 'WATCH_ONLY_MAX_TRANCHES': 22, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 3, 'WATCH_ONLY_DAILY_NEW_LIMIT': 1}",False,False,False,True
mp6_tr1_tu8_cr15_add1,combined_v2_50k_compact,True,50000.0,100,6,1,8,0.15,1,1,0.07312528030495313,0.2254692482530003,-0.10615968250359986,0.681377699668382,20,12,8,0.34360432075321207,0.6563956792467879,0.796237897909835,5.4366391184573,6,2.63883924,39.5825886,28.987998750000003,8687.007702000003,12,240,12,228,1.0,0.05,1.0,"{'WATCH_ONLY_PORTFOLIO_FULL': 163, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 39, 'WATCH_ONLY_MAX_TRANCHES': 22, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 3, 'WATCH_ONLY_DAILY_NEW_LIMIT': 1}",False,False,False,True
mp6_tr1_tu10_cr15_add0,combined_v2_50k_compact,True,50000.0,100,6,1,10,0.15,1,0,0.07312528030495313,0.2254692482530003,-0.10615968250359986,0.681377699668382,20,12,8,0.34360432075321207,0.6563956792467879,0.796237897909835,5.4366391184573,6,2.63883924,39.5825886,28.987998750000003,8687.007702000003,12,240,12,228,1.0,0.05,1.0,"{'WATCH_ONLY_PORTFOLIO_FULL': 163, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 39, 'WATCH_ONLY_MAX_TRANCHES': 22, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 3, 'WATCH_ONLY_DAILY_NEW_LIMIT': 1}",False,False,False,True
mp6_tr1_tu10_cr15_add1,combined_v2_50k_compact,True,50000.0,100,6,1,10,0.15,1,1,0.07312528030495313,0.2254692482530003,-0.10615968250359986,0.681377699668382,20,12,8,0.34360432075321207,0.6563956792467879,0.796237897909835,5.4366391184573,6,2.63883924,39.5825886,28.987998750000003,8687.007702000003,12,240,12,228,1.0,0.05,1.0,"{'WATCH_ONLY_PORTFOLIO_FULL': 163, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 39, 'WATCH_ONLY_MAX_TRANCHES': 22, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 3, 'WATCH_ONLY_DAILY_NEW_LIMIT': 1}",False,False,False,True
mp6_tr1_tu12_cr15_add0,combined_v2_50k_compact,True,50000.0,100,6,1,12,0.15,1,0,0.07312528030495313,0.2254692482530003,-0.10615968250359986,0.681377699668382,20,12,8,0.34360432075321207,0.6563956792467879,0.796237897909835,5.4366391184573,6,2.63883924,39.5825886,28.987998750000003,8687.007702000003,12,240,12,228,1.0,0.05,1.0,"{'WATCH_ONLY_PORTFOLIO_FULL': 163, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 39, 'WATCH_ONLY_MAX_TRANCHES': 22, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 3, 'WATCH_ONLY_DAILY_NEW_LIMIT': 1}",False,False,False,True
mp6_tr1_tu12_cr15_add1,combined_v2_50k_compact,True,50000.0,100,6,1,12,0.15,1,1,0.07312528030495313,0.2254692482530003,-0.10615968250359986,0.681377699668382,20,12,8,0.34360432075321207,0.6563956792467879,0.796237897909835,5.4366391184573,6,2.63883924,39.5825886,28.987998750000003,8687.007702000003,12,240,12,228,1.0,0.05,1.0,"{'WATCH_ONLY_PORTFOLIO_FULL': 163, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 39, 'WATCH_ONLY_MAX_TRANCHES': 22, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 3, 'WATCH_ONLY_DAILY_NEW_LIMIT': 1}",False,False,False,True
mp8_tr2_tu8_cr20_add1,combined_v2_50k_compact,True,50000.0,100,8,2,8,0.2,1,1,0.061435803070702066,0.18740428187500036,-0.058403476900422246,0.9262883086216133,41,22,19,0.6808374743350829,0.31916252566491715,0.43176620454448916,6.958677685950414,8,1.86763015,28.014452249999998,24.079954,8979.819073600005,22,569,22,547,1.0,0.03866432337434095,1.0,"{'WATCH_ONLY_PORTFOLIO_FULL': 288, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 173, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 81, 'WATCH_ONLY_DAILY_NEW_LIMIT': 5}",False,False,False,True
mp8_tr2_tu10_cr20_add1,combined_v2_50k_compact,True,50000.0,100,8,2,10,0.2,1,1,0.061435803070702066,0.18740428187500036,-0.058403476900422246,0.9262883086216133,41,22,19,0.6808374743350829,0.31916252566491715,0.43176620454448916,6.958677685950414,8,1.86763015,28.014452249999998,24.079954,8979.819073600005,22,569,22,547,1.0,0.03866432337434095,1.0,"{'WATCH_ONLY_PORTFOLIO_FULL': 288, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 173, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 81, 'WATCH_ONLY_DAILY_NEW_LIMIT': 5}",False,False,False,True
mp8_tr2_tu12_cr20_add1,combined_v2_50k_compact,True,50000.0,100,8,2,12,0.2,1,1,0.061435803070702066,0.18740428187500036,-0.058403476900422246,0.9262883086216133,41,22,19,0.6808374743350829,0.31916252566491715,0.43176620454448916,6.958677685950414,8,1.86763015,28.014452249999998,24.079954,8979.819073600005,22,569,22,547,1.0,0.03866432337434095,1.0,"{'WATCH_ONLY_PORTFOLIO_FULL': 288, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 173, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 81, 'WATCH_ONLY_DAILY_NEW_LIMIT': 5}",False,False,False,True
mp8_tr2_tu8_cr15_add1,combined_v2_50k_compact,True,50000.0,100,8,2,8,0.15,1,1,0.054240387102913346,0.16436204002599997,-0.07948830972528098,0.6767780149949351,40,22,18,0.6102902277459326,0.38970977225406744,0.5186828702657158,6.881542699724518,8,2.11847233,31.777084949999995,26.159413750000002,6482.086438000004,22,549,22,527,1.0,0.04007285974499089,1.0,"{'WATCH_ONLY_PORTFOLIO_FULL': 260, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 166, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 96, 'WATCH_ONLY_DAILY_NEW_LIMIT': 5}",False,False,False,True
