variant,comparison_group,capital,max_positions,max_tranches,target_universe_size,cash_reserve_ratio,max_adds_per_day,annual_return,cumulative_return,max_drawdown,max_exposure,total_trades,executable_buy_count,strategy_eligible_count,account_actionable_buy_count,watch_only_count,executable_account_actionable_ratio,executable_strategy_eligible_ratio,industry_concentration_max,top_block_or_watch_reasons,is_best_candidate,annual_return_delta,cumulative_return_delta,max_drawdown_delta,max_exposure_delta,total_trades_delta,watch_only_count_delta,passes_neighborhood_rule
mp6_tr1_tu10_cr15_add1,negative_max_adds_1,50000.0,6,1,10,0.15,1,0.0731252803049531,0.2254692482530003,-0.1061596825035998,0.796237897909835,20,12,240,12,228,1.0,0.05,1.0,"{'WATCH_ONLY_PORTFOLIO_FULL': 163, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 39, 'WATCH_ONLY_MAX_TRANCHES': 22, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 3, 'WATCH_ONLY_DAILY_NEW_LIMIT': 1}",False,0.0,0.0,0.0,0.0,0,0,True
mp6_tr1_tu8_cr15_add1,negative_max_adds_1,50000.0,6,1,8,0.15,1,0.0731252803049531,0.2254692482530003,-0.1061596825035998,0.796237897909835,20,12,240,12,228,1.0,0.05,1.0,"{'WATCH_ONLY_PORTFOLIO_FULL': 163, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 39, 'WATCH_ONLY_MAX_TRANCHES': 22, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 3, 'WATCH_ONLY_DAILY_NEW_LIMIT': 1}",False,0.0,0.0,0.0,0.0,0,0,True
mp5_tr1_tu10_cr20_add1,negative_max_adds_1,50000.0,5,1,10,0.2,1,0.043381836896096,0.1301450553120002,-0.1110347360552209,0.7624393240934232,23,13,229,13,216,1.0,0.056768558951965,1.0,"{'WATCH_ONLY_PORTFOLIO_FULL': 164, 'WATCH_ONLY_MAX_TRANCHES': 32, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 19, 'WATCH_ONLY_DAILY_NEW_LIMIT': 1}",False,-0.029743443408857102,-0.09532419294100009,-0.0048750535516211,-0.033798573816411825,3,-12,False
mp5_tr1_tu8_cr20_add1,negative_max_adds_1,50000.0,5,1,8,0.2,1,0.043381836896096,0.1301450553120002,-0.1110347360552209,0.7624393240934232,23,13,229,13,216,1.0,0.056768558951965,1.0,"{'WATCH_ONLY_PORTFOLIO_FULL': 164, 'WATCH_ONLY_MAX_TRANCHES': 32, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 19, 'WATCH_ONLY_DAILY_NEW_LIMIT': 1}",False,-0.029743443408857102,-0.09532419294100009,-0.0048750535516211,-0.033798573816411825,3,-12,False
mp5_tr1_tu10_cr15_add1,negative_max_adds_1,50000.0,5,1,10,0.15,1,0.0432266505212153,0.129660860832,-0.1219450162436165,0.8446671968924145,23,13,103,13,90,1.0,0.1262135922330097,1.0,"{'WATCH_ONLY_PORTFOLIO_FULL': 54, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 20, 'WATCH_ONLY_MAX_TRANCHES': 15, 'WATCH_ONLY_DAILY_NEW_LIMIT': 1}",False,-0.029898629783737807,-0.09580838742100029,-0.0157853337400167,0.04842929898257953,3,-138,False
mp5_tr1_tu8_cr15_add1,negative_max_adds_1,50000.0,5,1,8,0.15,1,0.0432266505212153,0.129660860832,-0.1219450162436165,0.8446671968924145,23,13,103,13,90,1.0,0.1262135922330097,1.0,"{'WATCH_ONLY_PORTFOLIO_FULL': 54, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 20, 'WATCH_ONLY_MAX_TRANCHES': 15, 'WATCH_ONLY_DAILY_NEW_LIMIT': 1}",False,-0.029898629783737807,-0.09580838742100029,-0.0157853337400167,0.04842929898257953,3,-138,False
mp6_tr1_tu10_cr20_add1,negative_max_adds_1,50000.0,6,1,10,0.2,1,0.029897009205652,0.0885749089140002,-0.1096060133088531,0.8066466182180462,29,16,285,56,269,0.2857142857142857,0.0561403508771929,1.0,"{'WATCH_ONLY_PORTFOLIO_FULL': 154, 'WATCH_ONLY_MAX_TRANCHES': 46, 'WATCH_ONLY_CASH_RESERVED': 40, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 25, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 3}",False,-0.04322827109930111,-0.13689433933900008,-0.003446330805253292,0.010408720308211161,9,41,False
mp6_tr1_tu8_cr20_add1,negative_max_adds_1,50000.0,6,1,8,0.2,1,0.029897009205652,0.0885749089140002,-0.1096060133088531,0.8066466182180462,29,16,285,56,269,0.2857142857142857,0.0561403508771929,1.0,"{'WATCH_ONLY_PORTFOLIO_FULL': 154, 'WATCH_ONLY_MAX_TRANCHES': 46, 'WATCH_ONLY_CASH_RESERVED': 40, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 25, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 3}",False,-0.04322827109930111,-0.13689433933900008,-0.003446330805253292,0.010408720308211161,9,41,False
mp8_tr1_tu10_cr15_add0,negative_max_positions_8,50000.0,8,1,10,0.15,0,0.0860441161009084,0.2684543599050002,-0.1107446394548025,0.8486284172963913,30,17,239,17,222,1.0,0.0711297071129707,1.0,"{'WATCH_ONLY_INDUSTRY_CONCENTRATION': 103, 'WATCH_ONLY_PORTFOLIO_FULL': 99, 'WATCH_ONLY_MAX_TRANCHES': 15, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 3, 'WATCH_ONLY_DAILY_NEW_LIMIT': 2}",False,0.012918835795955291,0.04298511165199992,-0.004584956951202687,0.052390519386556256,10,-6,True
mp8_tr1_tu8_cr15_add0,negative_max_positions_8,50000.0,8,1,8,0.15,0,0.0860441161009084,0.2684543599050002,-0.1107446394548025,0.8486284172963913,30,17,239,17,222,1.0,0.0711297071129707,1.0,"{'WATCH_ONLY_INDUSTRY_CONCENTRATION': 103, 'WATCH_ONLY_PORTFOLIO_FULL': 99, 'WATCH_ONLY_MAX_TRANCHES': 15, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 3, 'WATCH_ONLY_DAILY_NEW_LIMIT': 2}",False,0.012918835795955291,0.04298511165199992,-0.004584956951202687,0.052390519386556256,10,-6,True
mp8_tr1_tu10_cr20_add0,negative_max_positions_8,50000.0,8,1,10,0.2,0,0.0448189538893439,0.134635419447,-0.1062505772642743,0.7359160240928946,28,16,342,16,326,1.0,0.0467836257309941,1.0,"{'WATCH_ONLY_PORTFOLIO_FULL': 168, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 118, 'WATCH_ONLY_MAX_TRANCHES': 35, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 4, 'WATCH_ONLY_DAILY_NEW_LIMIT': 1}",False,-0.028306326415609206,-0.0908338288060003,-9.089476067448976e-05,-0.06032187381694043,8,98,False
mp8_tr1_tu8_cr20_add0,negative_max_positions_8,50000.0,8,1,8,0.2,0,0.0448189538893439,0.134635419447,-0.1062505772642743,0.7359160240928946,28,16,342,16,326,1.0,0.0467836257309941,1.0,"{'WATCH_ONLY_PORTFOLIO_FULL': 168, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 118, 'WATCH_ONLY_MAX_TRANCHES': 35, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 4, 'WATCH_ONLY_DAILY_NEW_LIMIT': 1}",False,-0.028306326415609206,-0.0908338288060003,-9.089476067448976e-05,-0.06032187381694043,8,98,False
mp5_tr2_tu10_cr20_add0,negative_max_tranches_2,50000.0,5,2,10,0.2,0,0.0141363527807503,0.0412698562459998,-0.0735368786643896,0.4333780799351431,28,15,639,15,624,1.0,0.0234741784037558,1.0,"{'WATCH_ONLY_PORTFOLIO_FULL': 460, 'WATCH_ONLY_DAILY_ADD_LIMIT': 77, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 54, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 32, 'WATCH_ONLY_DAILY_NEW_LIMIT': 1}",False,-0.0589889275242028,-0.1841993920070005,0.03262280383921021,-0.3628598179746919,8,396,False
