variant,symbol_pnl,industry_pnl,bucket_pnl,largest_single_stock_pnl_contribution,largest_industry_pnl_contribution
mp5_tr1_tu8_cr10_sw16_ind1_def3_cy0_lot90_gap8_rpm1_ro75_ne45_rf25_rep1_cyc1_current,"{""000001.sz"": 360.2899999999996, ""002032.sz"": 388.89750000000095, ""300628.sz"": 192.45050000000035, ""600018.sh"": 162.89012160000007, ""600036.sh"": -734.9362943999986, ""600803.sh"": 1964.9294383999986, ""601318.sh"": -475.2847552000001}","{""交通运输"": 162.89012160000007, ""公用事业"": 1964.9294383999986, ""家用电器"": 388.89750000000095, ""通信"": 192.45050000000035, ""银行"": -374.64629439999896, ""非银金融"": -475.2847552000001}","{""cyclical_rotation"": 162.89012160000007, ""defensive_dividend"": 1696.3463888000006}",0.4591301398175905,0.5520862594534388
mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_current,"{""000001.sz"": 143.1814999999997, ""002032.sz"": 257.53500000000145, ""300628.sz"": 192.45050000000035, ""600000.sh"": 3666.271582800002, ""600018.sh"": 469.3128287999987, ""600036.sh"": -1102.404441599999, ""600690.sh"": -1137.3048899999987, ""600803.sh"": 3544.6924099999997, ""601318.sh"": -950.5695104000002}","{""交通运输"": 469.3128287999987, ""公用事业"": 3544.6924099999997, ""家用电器"": -879.7698899999973, ""通信"": 192.45050000000035, ""银行"": 2707.0486412000027, ""非银金融"": -950.5695104000002}","{""cyclical_rotation"": 469.3128287999987, ""defensive_dividend"": 4613.852150800005}",0.3198150976245501,0.4053929254712557
mp5_tr1_tu8_cr15_sw16_ind2_def4_cy0_lot90_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,"{""000001.sz"": 411.7599999999996, ""000651.sz"": 2706.6500696000007, ""002032.sz"": 416.9115000000005, ""300628.sz"": 192.45050000000035, ""600000.sh"": 3621.330064800001, ""600027.sh"": -939.3350000000002, ""600036.sh"": -734.9362943999986, ""600690.sh"": -1026.168408, ""600803.sh"": 3544.6924099999997, ""601318.sh"": -950.5695104000002}","{""公用事业"": 2605.3574099999996, ""家用电器"": 2097.3931616000013, ""通信"": 192.45050000000035, ""银行"": 3298.153770400002, ""非银金融"": -950.5695104000002}","{""defensive_dividend"": 7242.785331600003}",0.24897758163339687,0.36069346631617055
mp6_tr1_tu8_cr10_sw16_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_current,"{""000001.sz"": 308.8199999999997, ""000651.sz"": -324.6194087999999, ""000921.sz"": -858.829442399999, ""002032.sz"": 388.89750000000095, ""300628.sz"": 192.45050000000035, ""600000.sh"": 4337.504505600001, ""600027.sh"": -773.5699999999989, ""600036.sh"": -734.9362943999986, ""600346.sh"": -367.49537399999946, ""600690.sh"": -951.1309079999997, ""600803.sh"": 1465.9009640000006, ""601318.sh"": -475.2847552000001}","{""公用事业"": 692.3309640000017, ""家用电器"": -1745.6822591999976, ""石油石化"": -367.49537399999946, ""通信"": 192.45050000000035, ""银行"": 3911.388211200002, ""非银金融"": -475.2847552000001}","{""cyclical_rotation"": -367.49537399999946, ""defensive_dividend"": 2575.2026608000065}",0.38798943779519635,0.5296659572898482
mp6_tr1_tu8_cr15_sw18_ind2_def4_cy0_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,"{""000001.sz"": 308.8199999999997, ""000651.sz"": -324.6194087999999, ""000921.sz"": -858.829442399999, ""002032.sz"": 388.89750000000095, ""300628.sz"": 192.45050000000035, ""600000.sh"": 4337.504505600001, ""600027.sh"": -773.5699999999989, ""600036.sh"": -734.9362943999986, ""600346.sh"": -367.49537399999946, ""600690.sh"": -951.1309079999997, ""600803.sh"": 1465.9009640000006, ""601318.sh"": -475.2847552000001}","{""公用事业"": 692.3309640000017, ""家用电器"": -1745.6822591999976, ""石油石化"": -367.49537399999946, ""通信"": 192.45050000000035, ""银行"": 3911.388211200002, ""非银金融"": -475.2847552000001}","{""cyclical_rotation"": -367.49537399999946, ""defensive_dividend"": 2575.2026608000065}",0.38798943779519635,0.5296659572898482
mp5_tr1_tu8_cr10_sw18_ind2_def3_cy1_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_current,"{""000001.sz"": 143.1814999999997, ""002032.sz"": 257.53500000000145, ""300628.sz"": -323.45299999999924, ""600000.sh"": 3666.271582800002, ""600018.sh"": 469.3128287999987, ""600036.sh"": -1102.404441599999, ""600690.sh"": -1137.3048899999987, ""600803.sh"": 3544.6924099999997, ""601018.sh"": 2032.2641700000004, ""601318.sh"": -950.5695104000002}","{""交通运输"": 2501.5769987999993, ""公用事业"": 3544.6924099999997, ""家用电器"": -879.7698899999973, ""通信"": -323.45299999999924, ""银行"": 2707.0486412000027, ""非银金融"": -950.5695104000002}","{""cyclical_rotation"": 469.3128287999987, ""defensive_dividend"": 6130.212820800006}",0.2690448706641382,0.3249891367763682
mp6_tr1_tu8_cr10_sw18_ind2_def3_cy1_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_current,"{""000001.sz"": 360.2899999999996, ""000651.sz"": -324.6194087999999, ""000786.sz"": -709.4595751999993, ""000921.sz"": -572.5529615999997, ""002032.sz"": 388.89750000000095, ""300628.sz"": 192.45050000000035, ""600000.sh"": 3218.9600576000016, ""600027.sh"": -773.5699999999989, ""600036.sh"": -734.9362943999986, ""600346.sh"": -367.49537399999946, ""600690.sh"": -634.0872719999998, ""600803.sh"": 1465.9009640000006, ""601318.sh"": -475.2847552000001}","{""公用事业"": 692.3309640000017, ""家用电器"": -1142.3621423999984, ""建筑材料"": -709.4595751999993, ""石油石化"": -367.49537399999946, ""通信"": 192.45050000000035, ""银行"": 2844.3137632000025, ""非银金融"": -475.2847552000001}","{""cyclical_rotation"": -1076.9549491999987, ""defensive_dividend"": 2111.448329600006}",0.31501282857153057,0.4427845414305727
mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,"{""000001.sz"": 360.2899999999996, ""000651.sz"": -324.6194087999999, ""000786.sz"": -709.4595751999993, ""000921.sz"": -572.5529615999997, ""002032.sz"": 388.89750000000095, ""300628.sz"": 192.45050000000035, ""600000.sh"": 3218.9600576000016, ""600027.sh"": -773.5699999999989, ""600036.sh"": -734.9362943999986, ""600346.sh"": -367.49537399999946, ""600690.sh"": -634.0872719999998, ""600803.sh"": 1465.9009640000006, ""601318.sh"": -475.2847552000001}","{""公用事业"": 692.3309640000017, ""家用电器"": -1142.3621423999984, ""建筑材料"": -709.4595751999993, ""石油石化"": -367.49537399999946, ""通信"": 192.45050000000035, ""银行"": 2844.3137632000025, ""非银金融"": -475.2847552000001}","{""cyclical_rotation"": -1076.9549491999987, ""defensive_dividend"": 2111.448329600006}",0.31501282857153057,0.4427845414305727
mp5_tr1_tu8_cr10_sw18_ind2_def3_cy2_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_current,"{""000786.sz"": -1064.1893628000005, ""002032.sz"": 257.53500000000145, ""300628.sz"": -417.4999999999997, ""600000.sh"": 4879.692568800001, ""600018.sh"": 469.3128287999987, ""600023.sh"": 318.563000000001, ""600036.sh"": -1102.404441599999, ""600690.sh"": -1137.3048899999987, ""601018.sh"": 2032.2641700000004, ""601318.sh"": -950.5695104000002}","{""交通运输"": 2501.5769987999993, ""公用事业"": 318.563000000001, ""家用电器"": -879.7698899999973, ""建筑材料"": -1064.1893628000005, ""通信"": -417.4999999999997, ""银行"": 3777.2881272000022, ""非银金融"": -950.5695104000002}","{""cyclical_rotation"": -594.8765340000018, ""defensive_dividend"": 3880.2758968000066}",0.3863776097761232,0.3811801362511348
mp6_tr1_tu8_cr10_sw18_ind2_def3_cy2_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_current,"{""000001.sz"": 276.2479999999993, ""000651.sz"": -324.6194087999999, ""000786.sz"": -709.4595751999993, ""000921.sz"": -1062.3267767999996, ""002032.sz"": 388.89750000000095, ""002532.sz"": -731.8954359999987, ""300628.sz"": 192.45050000000035, ""600000.sh"": 2955.3031520000004, ""600023.sh"": 262.34600000000086, ""600036.sh"": -734.9362943999986, ""600346.sh"": -367.49537399999946, ""600803.sh"": 1465.9009640000006, ""601318.sh"": -475.2847552000001, ""601688.sh"": 3504.591816000001}","{""公用事业"": 1728.2469640000015, ""家用电器"": -998.0486855999986, ""建筑材料"": -709.4595751999993, ""有色金属"": -731.8954359999987, ""石油石化"": -367.49537399999946, ""通信"": 192.45050000000035, ""银行"": 2496.614857600001, ""非银金融"": 3029.3070608000007}","{""cyclical_rotation"": -1808.8503851999974, ""defensive_dividend"": 6448.570696800004}",0.2605304417217668,0.2954407381843244
mp6_tr1_tu8_cr15_sw18_ind2_def4_cy2_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,"{""000001.sz"": 276.2479999999993, ""000651.sz"": -324.6194087999999, ""000786.sz"": -709.4595751999993, ""000921.sz"": -1062.3267767999996, ""002032.sz"": 388.89750000000095, ""002532.sz"": -731.8954359999987, ""300628.sz"": 192.45050000000035, ""600000.sh"": 2955.3031520000004, ""600023.sh"": 262.34600000000086, ""600036.sh"": -734.9362943999986, ""600346.sh"": -367.49537399999946, ""600803.sh"": 1465.9009640000006, ""601318.sh"": -475.2847552000001, ""601688.sh"": 3504.591816000001}","{""公用事业"": 1728.2469640000015, ""家用电器"": -998.0486855999986, ""建筑材料"": -709.4595751999993, ""有色金属"": -731.8954359999987, ""石油石化"": -367.49537399999946, ""通信"": 192.45050000000035, ""银行"": 2496.614857600001, ""非银金融"": 3029.3070608000007}","{""cyclical_rotation"": -1808.8503851999974, ""defensive_dividend"": 6448.570696800004}",0.2605304417217668,0.2954407381843244
mp5_tr1_tu8_cr10_sw14_ind1_def3_cy0_lot80_gap8_rpm1_ro75_ne45_rf25_rep1_cyc1_current,"{""000001.sz"": 308.8199999999997, ""000651.sz"": 1018.6365000000005, ""300628.sz"": 192.45050000000035, ""600036.sh"": -734.9362943999986, ""600346.sh"": -367.49537399999946, ""600803.sh"": 595.0764744000004, ""601318.sh"": -475.2847552000001, ""601688.sh"": 3504.591816000001}","{""公用事业"": 595.0764744000004, ""家用电器"": 1018.6365000000005, ""石油石化"": -367.49537399999946, ""通信"": 192.45050000000035, ""银行"": -426.1162943999989, ""非银金融"": 3029.3070608000007}","{""cyclical_rotation"": -367.49537399999946, ""defensive_dividend"": 4409.354240800003}",0.48693202321964424,0.5381529263976018
