date,variant,market_regime,raw_buy_signal_count,account_actionable_buy_count,watch_only_count,executable_buy_count,cyclical_candidates,cyclical_executed_buys,holdings_count,cash,nav,cash_ratio,exposure,replacement_count
2023-04-03,mp5_tr1_tu8_cr10_sw16_ind1_def3_cy0_lot90_gap8_rpm1_ro75_ne45_rf25_rep1_cyc1_current,risk_on,2,1,1,1,0,0,1,46165.93462535,49986.93462535,0.9235600256619407,0.07643997433805927,0
2023-04-04,mp5_tr1_tu8_cr10_sw16_ind1_def3_cy0_lot90_gap8_rpm1_ro75_ne45_rf25_rep1_cyc1_current,risk_on,1,1,0,1,0,0,2,40671.54180185,49859.54180185,0.8157223338209841,0.18427766617901584,0
2023-04-06,mp5_tr1_tu8_cr10_sw16_ind1_def3_cy0_lot90_gap8_rpm1_ro75_ne45_rf25_rep1_cyc1_current,neutral,1,0,1,0,0,0,2,40671.54180185,49982.54180185,0.8137149559757809,0.18628504402421914,0
2023-04-07,mp5_tr1_tu8_cr10_sw16_ind1_def3_cy0_lot90_gap8_rpm1_ro75_ne45_rf25_rep1_cyc1_current,risk_on,1,0,1,0,0,0,2,40671.54180185,50045.54180185,0.8126906081441708,0.18730939185582915,0
2023-04-10,mp5_tr1_tu8_cr10_sw16_ind1_def3_cy0_lot90_gap8_rpm1_ro75_ne45_rf25_rep1_cyc1_current,risk_on,1,0,1,0,0,0,2,40671.54180185,49903.54180185,0.8150031106678333,0.1849968893321667,0
2023-04-11,mp5_tr1_tu8_cr10_sw16_ind1_def3_cy0_lot90_gap8_rpm1_ro75_ne45_rf25_rep1_cyc1_current,neutral,1,0,1,0,0,0,2,40671.54180185,49899.54180185,0.8150684421784034,0.18493155782159662,0
2023-04-12,mp5_tr1_tu8_cr10_sw16_ind1_def3_cy0_lot90_gap8_rpm1_ro75_ne45_rf25_rep1_cyc1_current,neutral,1,0,1,0,0,0,2,40671.54180185,49905.54180185,0.8149704488398581,0.1850295511601418,0
2023-04-13,mp5_tr1_tu8_cr10_sw16_ind1_def3_cy0_lot90_gap8_rpm1_ro75_ne45_rf25_rep1_cyc1_current,neutral,1,0,1,0,0,0,2,40671.54180185,50018.54180185,0.8131292983904163,0.1868707016095837,0
2023-04-14,mp5_tr1_tu8_cr10_sw16_ind1_def3_cy0_lot90_gap8_rpm1_ro75_ne45_rf25_rep1_cyc1_current,neutral,1,0,1,0,0,0,2,40671.54180185,50379.54180185,0.8073027333558737,0.19269726664412637,0
2023-04-17,mp5_tr1_tu8_cr10_sw16_ind1_def3_cy0_lot90_gap8_rpm1_ro75_ne45_rf25_rep1_cyc1_current,risk_on,2,0,2,0,1,0,2,40671.54180185,50589.54180185,0.8039515748364159,0.19604842516358412,0
