variant,profile,research_only,capital,round_lot,min_trade_value,max_positions,max_tranches,target_universe_size,cash_reserve_ratio,max_single_stock_weight,max_new_positions_per_day,max_adds_per_day,industry_max_positions,cyclical_max_positions,defensive_core_min_positions,lot_notional_max_ratio_to_target_budget,score_gap_threshold,max_replacements_per_month,risk_on_target_exposure,neutral_target_exposure,risk_off_target_exposure,module_control,replacement_enabled,cyclical_overlay_enabled,annual_return,cumulative_return,max_drawdown,sharpe,total_trades,buy_trades,sell_trades,executable_buy_count,account_actionable_buy_count,executable_account_actionable_ratio,raw_buy_signal_count,watch_only_count,top_watch_only_reasons,average_exposure,max_exposure,average_cash_ratio,avg_cash_ratio_in_risk_on,average_positions,max_positions_seen,largest_single_stock_pnl_contribution,largest_industry_pnl_contribution,defensive_dividend_pnl,cyclical_rotation_pnl,realized_pnl,unrealized_pnl,replacement_count,replacement_realized_pnl,auto_trading_approved,broker_integration_enabled,llm_decision_allowed,pass_hard_conditions,fail_reasons,selection_score
mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both,combined_v2_50k_core,True,50000.0,100,1500.0,5,1,8,0.1,0.18,1,0,2,0,3,1.0,8.0,1,0.85,0.6,0.25,disable_both,True,True,0.09802926707249804,0.30920229545199973,-0.1603906044740383,0.6198532526185463,10,7,3,7,7,1.0,152,146,"{'WATCH_ONLY_CYCLICAL_DISABLED': 140, 'WATCH_ONLY_DAILY_ADD_LIMIT': 4, 'WATCH_ONLY_PORTFOLIO_FULL': 2}",0.5933467815083991,0.704513583289827,0.40665321849160085,0.3645564696506779,4.87465564738292,5,0.2290748014187305,0.41054235951187096,15473.951687599998,0.0,9130.3556876,6343.595999999999,1,2750.8016408,False,False,False,False,"sharpe,max_drawdown,total_trades,avg_cash_ratio_in_risk_on",0.843328
mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_trend_stop,combined_v2_50k_core,True,50000.0,100,1500.0,5,1,8,0.1,0.18,1,0,2,0,3,1.0,8.0,1,0.85,0.6,0.25,disable_trend_stop,True,True,0.0689137969047453,0.2116647980170001,-0.1121393297816069,0.585206644509007,9,7,2,7,7,1.0,66,59,"{'WATCH_ONLY_CYCLICAL_DISABLED': 43, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 14, 'WATCH_ONLY_DAILY_NEW_LIMIT': 1, 'WATCH_ONLY_DAILY_ADD_LIMIT': 1}",0.7083425089625753,0.846128873642747,0.29165749103742467,0.2687276275864093,4.701101928374656,5,0.3180415204181475,0.5705859294730897,10130.929068800004,469.3128287999987,5349.0053976,5251.236500000004,0,0.0,False,False,False,False,"sharpe,total_trades,largest_industry_pnl_contribution",0.789079
mp6_tr1_tu8_cr10_sw18_ind2_def3_cy2_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_current,combined_v2_50k_core,True,50000.0,100,1500.0,6,1,8,0.1,0.18,1,0,2,2,3,1.0,8.0,1,0.85,0.6,0.25,current,True,True,0.031136326349655352,0.09235301764800008,-0.08608899448537621,0.3431330739302255,24,14,10,14,14,1.0,287,274,"{'WATCH_ONLY_CYCLICAL_NOT_RISK_ON': 82, 'WATCH_ONLY_PORTFOLIO_FULL': 78, 'WATCH_ONLY_CYCLICAL_TREND_NOT_CONFIRMED': 52, 'WATCH_ONLY_CYCLICAL_LIMIT': 30, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 16}",0.4745266443303665,0.6764833094872335,0.5254733556696335,0.4261191715317674,4.736914600550964,6,0.2605304417217668,0.2954407381843244,6448.570696800004,-1808.8503851999974,3519.7783116000064,1119.9420000000016,1,2955.3031520000004,False,False,False,False,"annual_return,sharpe,avg_cash_ratio_in_risk_on,cyclical_rotation_pnl",0.61128
mp6_tr1_tu8_cr15_sw18_ind2_def4_cy2_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,combined_v2_50k_core,True,50000.0,100,1500.0,6,1,8,0.15,0.18,1,0,2,2,4,1.0,10.0,1,0.85,0.6,0.25,current,True,True,0.031136326349655352,0.09235301764800008,-0.08608899448537621,0.3431330739302255,24,14,10,14,14,1.0,287,274,"{'WATCH_ONLY_CYCLICAL_NOT_RISK_ON': 82, 'WATCH_ONLY_PORTFOLIO_FULL': 78, 'WATCH_ONLY_CYCLICAL_TREND_NOT_CONFIRMED': 52, 'WATCH_ONLY_CYCLICAL_LIMIT': 30, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 16}",0.4745266443303665,0.6764833094872335,0.5254733556696335,0.4261191715317674,4.736914600550964,6,0.2605304417217668,0.2954407381843244,6448.570696800004,-1808.8503851999974,3519.7783116000064,1119.9420000000016,1,2955.3031520000004,False,False,False,False,"annual_return,sharpe,avg_cash_ratio_in_risk_on,cyclical_rotation_pnl",0.61128
mp5_tr1_tu8_cr10_sw14_ind1_def3_cy0_lot80_gap8_rpm1_ro75_ne45_rf25_rep1_cyc1_current,combined_v2_50k_core,True,50000.0,100,1500.0,5,1,8,0.1,0.14,1,0,1,0,3,0.8,8.0,1,0.75,0.45,0.25,current,True,True,0.0272668027339793,0.08058490726400036,-0.10764620801162184,0.3445900109857526,15,9,6,9,9,1.0,562,553,"{'WATCH_ONLY_CYCLICAL_DISABLED': 300, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 203, 'WATCH_ONLY_PORTFOLIO_FULL': 44, 'WATCH_ONLY_DAILY_ADD_LIMIT': 4, 'WATCH_ONLY_DAILY_NEW_LIMIT': 2}",0.293372226006322,0.5245300057927366,0.7066277739936779,0.6345777333435064,3.298898071625344,5,0.48693202321964424,0.5381529263976018,4409.354240800003,-367.49537399999946,2521.951866800003,1519.9070000000006,0,0.0,False,False,False,False,"annual_return,sharpe,total_trades,avg_cash_ratio_in_risk_on,largest_single_stock_pnl_contribution",0.541442
mp5_tr1_tu8_cr15_sw16_ind2_def4_cy0_lot90_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,combined_v2_50k_core,True,50000.0,100,1500.0,5,1,8,0.15,0.16,1,0,2,0,4,0.9,10.0,1,0.85,0.6,0.25,current,True,True,0.047952564155995914,0.14446694034600016,-0.18598554699926084,0.3547950988526976,16,10,6,10,10,1.0,301,293,"{'WATCH_ONLY_CYCLICAL_DISABLED': 205, 'WATCH_ONLY_PORTFOLIO_FULL': 75, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 12, 'WATCH_ONLY_DAILY_NEW_LIMIT': 1}",0.5298336961839073,0.6383646940826826,0.47016630381609276,0.414836245471248,4.424242424242424,5,0.24897758163339687,0.36069346631617055,7242.785331600003,0.0,7160.998331600003,81.78700000000038,2,6327.980134400002,False,False,False,False,"annual_return,sharpe,max_drawdown,total_trades,avg_cash_ratio_in_risk_on",0.510579
mp5_tr1_tu8_cr10_sw18_ind2_def3_cy2_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_current,combined_v2_50k_core,True,50000.0,100,1500.0,5,1,8,0.1,0.18,1,0,2,2,3,1.0,8.0,1,0.85,0.6,0.25,current,True,True,0.02218256708989963,0.06524883579500029,-0.10552012334738825,0.2507314938422758,17,10,7,10,10,1.0,81,71,"{'WATCH_ONLY_CYCLICAL_TREND_NOT_CONFIRMED': 25, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 23, 'WATCH_ONLY_CYCLICAL_NOT_RISK_ON': 16, 'WATCH_ONLY_DAILY_ADD_LIMIT': 3, 'WATCH_ONLY_CYCLICAL_LIMIT': 3}",0.64141998210449,0.8117616151202394,0.3585800178955099,0.30174212084317015,4.225895316804408,5,0.3863776097761232,0.3811801362511348,3880.2758968000066,-594.8765340000018,3126.8013628000017,158.59800000000274,0,0.0,False,False,False,False,"annual_return,sharpe,total_trades,cyclical_rotation_pnl",0.496123
mp6_tr1_tu8_cr10_sw16_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_current,combined_v2_50k_core,True,50000.0,100,1500.0,6,1,8,0.1,0.16,1,0,2,0,3,1.0,8.0,1,0.85,0.6,0.25,current,True,True,0.01498725276273305,0.04378883317100035,-0.09069572093647582,0.20502805599580726,20,12,8,12,12,1.0,343,331,"{'WATCH_ONLY_CYCLICAL_DISABLED': 241, 'WATCH_ONLY_PORTFOLIO_FULL': 52, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 35, 'WATCH_ONLY_DAILY_NEW_LIMIT': 3}",0.41935127978617287,0.6562813294064334,0.5806487202138271,0.5244114293639127,4.3402203856749315,6,0.38798943779519635,0.5296659572898482,2575.2026608000065,-367.49537399999946,2091.109286800004,116.59800000000212,0,0.0,False,False,False,False,"annual_return,sharpe,avg_cash_ratio_in_risk_on",0.458239
mp6_tr1_tu8_cr15_sw18_ind2_def4_cy0_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,combined_v2_50k_core,True,50000.0,100,1500.0,6,1,8,0.15,0.18,1,0,2,0,4,1.0,10.0,1,0.85,0.6,0.25,current,True,True,0.01498725276273305,0.04378883317100035,-0.09069572093647582,0.20502805599580726,20,12,8,12,12,1.0,343,331,"{'WATCH_ONLY_CYCLICAL_DISABLED': 241, 'WATCH_ONLY_PORTFOLIO_FULL': 52, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 35, 'WATCH_ONLY_DAILY_NEW_LIMIT': 3}",0.41935127978617287,0.6562813294064334,0.5806487202138271,0.5244114293639127,4.3402203856749315,6,0.38798943779519635,0.5296659572898482,2575.2026608000065,-367.49537399999946,2091.109286800004,116.59800000000212,0,0.0,False,False,False,False,"annual_return,sharpe,avg_cash_ratio_in_risk_on",0.458239
mp5_tr1_tu8_cr10_sw18_ind2_def3_cy1_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_current,combined_v2_50k_core,True,50000.0,100,1500.0,5,1,8,0.1,0.18,1,0,2,1,3,1.0,8.0,1,0.85,0.6,0.25,current,True,True,0.04382834359439802,0.13153894932299992,-0.2077389901041763,0.3185896861678282,17,10,7,10,10,1.0,79,70,"{'WATCH_ONLY_CYCLICAL_TREND_NOT_CONFIRMED': 18, 'WATCH_ONLY_CYCLICAL_LIMIT': 18, 'WATCH_ONLY_CYCLICAL_NOT_RISK_ON': 16, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 14, 'WATCH_ONLY_DAILY_ADD_LIMIT': 2}",0.665584138720355,0.812137130440171,0.33441586127964495,0.2588322369214661,4.3829201101928374,5,0.2690448706641382,0.3249891367763682,6130.212820800006,469.3128287999987,6522.262149600003,77.2635000000019,1,3666.271582800002,False,False,False,False,"annual_return,sharpe,max_drawdown,total_trades",0.448559
