date,sell_symbol,buy_symbol,sell_industry,buy_industry,weakest_holding_score,candidate_score,score_gap,sell_reason,buy_reason,realized_pnl_from_sell,estimated_cost,portfolio_positions_before,portfolio_positions_after,variant
2025-03-19,600000.sh,000001.sz,银行,银行,0.0,83.7173,83.7173,"VALUATION_NOT_CHEAP,THESIS_NOT_VALID",EXPECTED_EDGE_SCORE_GAP_AND_LOT_FIT,3666.271582800002,7.7004,6,5,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_current
2025-01-13,000651.sz,000001.sz,家用电器,银行,0.0,81.6586,81.6586,"VALUATION_NOT_CHEAP,THESIS_NOT_VALID",EXPECTED_EDGE_SCORE_GAP_AND_LOT_FIT,2706.6500696000007,6.8636,6,5,mp5_tr1_tu8_cr15_sw16_ind2_def4_cy0_lot90_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current
2025-03-18,600000.sh,600027.sh,银行,公用事业,0.0,72.1843,72.1843,"VALUATION_NOT_CHEAP,THESIS_NOT_VALID",EXPECTED_EDGE_SCORE_GAP_AND_LOT_FIT,3621.330064800001,7.5186,6,5,mp5_tr1_tu8_cr15_sw16_ind2_def4_cy0_lot90_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current
2025-03-19,600000.sh,000001.sz,银行,银行,0.0,83.7173,83.7173,"VALUATION_NOT_CHEAP,THESIS_NOT_VALID",EXPECTED_EDGE_SCORE_GAP_AND_LOT_FIT,3666.271582800002,7.7004,6,5,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy1_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_current
2025-03-18,600000.sh,600027.sh,银行,公用事业,0.0,72.1843,72.1843,"VALUATION_NOT_CHEAP,THESIS_NOT_VALID",EXPECTED_EDGE_SCORE_GAP_AND_LOT_FIT,3218.9600576000016,6.7002,7,6,mp6_tr1_tu8_cr10_sw18_ind2_def3_cy1_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_current
2025-03-18,600000.sh,600027.sh,银行,公用事业,0.0,72.1843,72.1843,"VALUATION_NOT_CHEAP,THESIS_NOT_VALID",EXPECTED_EDGE_SCORE_GAP_AND_LOT_FIT,3218.9600576000016,6.7002,7,6,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current
2025-01-23,600000.sh,000001.sz,银行,银行,0.0,81.153,81.153,"VALUATION_NOT_CHEAP,THESIS_NOT_VALID",EXPECTED_EDGE_SCORE_GAP_AND_LOT_FIT,2955.3031520000004,6.6576,7,6,mp6_tr1_tu8_cr10_sw18_ind2_def3_cy2_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_current
2025-01-23,600000.sh,000001.sz,银行,银行,0.0,81.153,81.153,"VALUATION_NOT_CHEAP,THESIS_NOT_VALID",EXPECTED_EDGE_SCORE_GAP_AND_LOT_FIT,2955.3031520000004,6.6576,7,6,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy2_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current
2024-10-30,000651.sz,600803.sh,家用电器,公用事业,0.0,75.8575,75.8575,"VALUATION_NOT_CHEAP,THESIS_NOT_VALID",EXPECTED_EDGE_SCORE_GAP_AND_LOT_FIT,2750.8016408,7.2051,6,5,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both
2025-03-19,600000.sh,000001.sz,银行,银行,0.0,83.7173,83.7173,"VALUATION_NOT_CHEAP,THESIS_NOT_VALID",EXPECTED_EDGE_SCORE_GAP_AND_LOT_FIT,3666.271582800002,7.7004,6,5,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc0_cyclical_disabled
