date,variant,symbol,allowed,blocked_reason,group,group_current_weight,group_post_weight,group_current_positions,group_post_positions,blocked_candidates,avoided_drawdown_estimate,diagnostic_only,do_not_force_sell_existing
2023-04-03,group_cap_fin1_fw30,600036.sh,True,,financial,0.0,0.17,0.0,1.0,[],0.0,True,True
2023-04-04,group_cap_fin1_fw30,600018.sh,True,,,,,,,,,,True
2023-04-06,group_cap_fin1_fw30,601318.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.163147,0.283147,1.0,2.0,['601318.sh'],0.0,True,True
2023-04-11,group_cap_fin1_fw30,601318.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.163184,0.283184,1.0,2.0,['601318.sh'],0.0,True,True
2023-04-12,group_cap_fin1_fw30,601318.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.162678,0.282678,1.0,2.0,['601318.sh'],0.0,True,True
2023-04-13,group_cap_fin1_fw30,601318.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.164037,0.284037,1.0,2.0,['601318.sh'],0.0,True,True
2023-04-14,group_cap_fin1_fw30,601318.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.165885,0.285885,1.0,2.0,['601318.sh'],0.0,True,True
2023-04-24,group_cap_fin1_fw30,601166.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.161806,0.281806,1.0,2.0,['601166.sh'],0.0,True,True
2023-04-25,group_cap_fin1_fw30,601318.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.163691,0.283691,1.0,2.0,['601318.sh'],0.0,True,True
2023-04-26,group_cap_fin1_fw30,601318.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.163136,0.283136,1.0,2.0,['601318.sh'],0.0,True,True
2023-05-04,group_cap_fin1_fw30,601166.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.163416,0.283416,1.0,2.0,['601166.sh'],0.0,True,True
2023-05-05,group_cap_fin1_fw30,601166.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.166367,0.286367,1.0,2.0,['601166.sh'],0.0,True,True
2023-05-08,group_cap_fin1_fw30,002032.sz,True,,,,,,,,,,True
2023-05-11,group_cap_fin1_fw30,000651.sz,True,,,,,,,,,,True
2024-09-26,group_cap_fin1_fw30,300628.sz,True,,,,,,,,,,True
2023-04-03,group_cap_fin1_fw35,600036.sh,True,,financial,0.0,0.17,0.0,1.0,[],0.0,True,True
2023-04-04,group_cap_fin1_fw35,600018.sh,True,,,,,,,,,,True
2023-04-06,group_cap_fin1_fw35,601318.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.163147,0.283147,1.0,2.0,['601318.sh'],0.0,True,True
2023-04-11,group_cap_fin1_fw35,601318.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.163184,0.283184,1.0,2.0,['601318.sh'],0.0,True,True
2023-04-12,group_cap_fin1_fw35,601318.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.162678,0.282678,1.0,2.0,['601318.sh'],0.0,True,True
2023-04-13,group_cap_fin1_fw35,601318.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.164037,0.284037,1.0,2.0,['601318.sh'],0.0,True,True
2023-04-14,group_cap_fin1_fw35,601318.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.165885,0.285885,1.0,2.0,['601318.sh'],0.0,True,True
2023-04-24,group_cap_fin1_fw35,601166.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.161806,0.281806,1.0,2.0,['601166.sh'],0.0,True,True
2023-04-25,group_cap_fin1_fw35,601318.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.163691,0.283691,1.0,2.0,['601318.sh'],0.0,True,True
2023-04-26,group_cap_fin1_fw35,601318.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.163136,0.283136,1.0,2.0,['601318.sh'],0.0,True,True
2023-05-04,group_cap_fin1_fw35,601166.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.163416,0.283416,1.0,2.0,['601166.sh'],0.0,True,True
2023-05-05,group_cap_fin1_fw35,601166.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.166367,0.286367,1.0,2.0,['601166.sh'],0.0,True,True
2023-05-08,group_cap_fin1_fw35,002032.sz,True,,,,,,,,,,True
2023-05-11,group_cap_fin1_fw35,000651.sz,True,,,,,,,,,,True
2024-09-26,group_cap_fin1_fw35,300628.sz,True,,,,,,,,,,True
2023-04-03,group_cap_fin2_fw30,600036.sh,True,,financial,0.0,0.17,0.0,1.0,[],0.0,True,True
2023-04-04,group_cap_fin2_fw30,600018.sh,True,,,,,,,,,,True
2023-04-06,group_cap_fin2_fw30,601318.sh,True,,financial,0.163147,0.283147,1.0,2.0,[],0.0,True,True
2023-04-24,group_cap_fin2_fw30,601166.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.239621,0.359621,2.0,3.0,['601166.sh'],0.0,True,True
2023-05-04,group_cap_fin2_fw30,601166.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.251322,0.371322,2.0,3.0,['601166.sh'],0.0,True,True
2023-05-05,group_cap_fin2_fw30,601166.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.254214,0.374214,2.0,3.0,['601166.sh'],0.0,True,True
2023-05-08,group_cap_fin2_fw30,002032.sz,True,,,,,,,,,,True
2023-05-29,group_cap_fin2_fw30,000333.sz,True,,,,,,,,,,True
2026-03-03,group_cap_fin2_fw30,300628.sz,True,,,,,,,,,,True
2023-04-03,group_cap_fin2_fw35,600036.sh,True,,financial,0.0,0.17,0.0,1.0,[],0.0,True,True
2023-04-04,group_cap_fin2_fw35,600018.sh,True,,,,,,,,,,True
2023-04-06,group_cap_fin2_fw35,601318.sh,True,,financial,0.163147,0.283147,1.0,2.0,[],0.0,True,True
2023-04-24,group_cap_fin2_fw35,601166.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.239621,0.359621,2.0,3.0,['601166.sh'],0.0,True,True
2023-05-04,group_cap_fin2_fw35,601166.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.251322,0.371322,2.0,3.0,['601166.sh'],0.0,True,True
2023-05-05,group_cap_fin2_fw35,601166.sh,False,WATCH_ONLY_GROUP_CONCENTRATION,financial,0.254214,0.374214,2.0,3.0,['601166.sh'],0.0,True,True
2023-05-08,group_cap_fin2_fw35,002032.sz,True,,,,,,,,,,True
2023-05-29,group_cap_fin2_fw35,000333.sz,True,,,,,,,,,,True
2026-03-03,group_cap_fin2_fw35,300628.sz,True,,,,,,,,,,True
