variant,base_repair_variant,profile,research_only,stock_only,mechanisms_enabled,capital,round_lot,max_positions,max_single_stock_weight,cyclical_max_positions,annual_return,cumulative_return,max_drawdown,sharpe,total_trades,buy_trades,sell_trades,average_exposure,avg_cash_ratio_in_risk_on,largest_single_stock_pnl_contribution,largest_industry_pnl_contribution,defensive_dividend_pnl,cyclical_rotation_pnl,realized_pnl,unrealized_pnl,quality_defensive_fill_candidates,quality_defensive_fill_executed,winner_add_candidates,winner_add_executed,financial_group_cap_blocks,market_regime_review_fills,cash_sleeve_trades,cash_sleeve_pnl,cash_sleeve_data_available,no_raw_signal_risk_on_days,cyclical_disabled_or_blocked_days,executable_account_actionable_ratio,replacement_count,top_watch_only_reasons,auto_trading_approved,broker_integration_enabled,llm_decision_allowed,writes_real_trades,release_profile_replacement,risk_flags,pass_hard_conditions,fail_reasons,distance_to_pass,selection_score
quality_strict_winner_sw18,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,True,"quality_defensive_fill,winner_add",50000.0,100,5,0.18,0,0.08101172811803004,0.25159490898799985,-0.1376083240154362,0.6778688731643032,9,8,1,0.6700695171792987,0.32698275863065523,0.27629713962637203,0.4989513002159978,12590.525636800001,0.0,2834.8616368000016,9755.663999999997,1,1,12,3,0,0,0,0.0,False,94,93,0.47058823529411764,0,"{'WATCH_ONLY_CYCLICAL_DISABLED': 74, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 9, 'WATCH_ONLY_DAILY_ADD_LIMIT': 1}",False,False,False,False,False,,False,"sharpe,max_drawdown,total_trades,executable_account_actionable_ratio",0.433847,0.745355
quality_balanced_winner_sw18,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,True,"quality_defensive_fill,winner_add",50000.0,100,5,0.18,0,0.08101172811803004,0.25159490898799985,-0.1376083240154362,0.6778688731643032,9,8,1,0.6700695171792987,0.32698275863065523,0.27629713962637203,0.4989513002159978,12590.525636800001,0.0,2834.8616368000016,9755.663999999997,2,1,12,3,0,0,0,0.0,False,94,93,0.47058823529411764,0,"{'WATCH_ONLY_CYCLICAL_DISABLED': 74, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 9, 'WATCH_ONLY_DAILY_ADD_LIMIT': 1}",False,False,False,False,False,,False,"sharpe,max_drawdown,total_trades,executable_account_actionable_ratio",0.433847,0.745355
winner_add_sw16,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,True,winner_add,50000.0,100,5,0.18,0,0.10277312763118962,0.32556383274299994,-0.1603906044740383,0.638149009664158,11,8,3,0.6200054676472236,0.31834717705943627,0.21755254360248824,0.38989244567810344,16293.500187599999,0.0,9130.3556876,7163.144499999999,0,0,14,1,0,0,0,0.0,False,95,93,0.38095238095238093,1,"{'WATCH_ONLY_CYCLICAL_DISABLED': 106, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 13, 'WATCH_ONLY_DAILY_ADD_LIMIT': 4, 'WATCH_ONLY_PORTFOLIO_FULL': 2}",False,False,False,False,False,,False,"sharpe,max_drawdown,total_trades,executable_account_actionable_ratio",0.59012,0.713459
regime_review_strict_fin2,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,True,"quality_defensive_fill,financial_group_cap,market_regime_block_review",50000.0,100,5,0.18,0,0.08350378906006428,0.25992537552600004,-0.14950171643610666,0.6355306451935475,5,5,0,0.6824427472230504,0.29284719230806594,0.33672805639831277,0.4851299650366937,13005.921,0.0,0.0,13005.921,40,0,0,0,0,3,0,0.0,False,95,93,1.0,0,"{'WATCH_ONLY_CYCLICAL_DISABLED': 72, 'WATCH_ONLY_PORTFOLIO_FULL': 18}",False,False,False,False,False,,False,"sharpe,max_drawdown,total_trades,realized_pnl",0.648714,0.668854
regime_review_balanced_fin2,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,True,"quality_defensive_fill,financial_group_cap,market_regime_block_review",50000.0,100,5,0.18,0,0.08350378906006428,0.25992537552600004,-0.14950171643610666,0.6355306451935475,5,5,0,0.6824427472230504,0.29284719230806594,0.33672805639831277,0.4851299650366937,13005.921,0.0,0.0,13005.921,101,0,0,0,0,3,0,0.0,False,95,93,1.0,0,"{'WATCH_ONLY_CYCLICAL_DISABLED': 72, 'WATCH_ONLY_PORTFOLIO_FULL': 18}",False,False,False,False,False,,False,"sharpe,max_drawdown,total_trades,realized_pnl",0.648714,0.668854
winner_add_sw18,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,True,winner_add,50000.0,100,5,0.18,0,0.09895248522815159,0.3123760740350001,-0.16821760982216105,0.6065738389457446,11,8,3,0.6393061085108486,0.33223402659504614,0.22398377218251944,0.40638160969728165,15632.382187600002,0.0,9130.3556876,6502.026500000001,0,0,18,2,0,0,0,0.0,False,95,93,0.3333333333333333,1,"{'WATCH_ONLY_CYCLICAL_DISABLED': 85, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 16, 'WATCH_ONLY_DAILY_ADD_LIMIT': 4, 'WATCH_ONLY_PORTFOLIO_FULL': 1}",False,False,False,False,False,,False,"sharpe,max_drawdown,total_trades,executable_account_actionable_ratio",0.684445,0.624119
repair_best_baseline,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,True,baseline,50000.0,100,5,0.18,0,0.09802926707249804,0.30920229545199973,-0.1603906044740383,0.6198532526185463,10,7,3,0.5933467815083991,0.3645564696506779,0.2290748014187305,0.41054235951187096,15473.951687599998,0.0,9130.3556876,6343.595999999999,0,0,0,0,0,0,0,0.0,False,95,93,1.0,1,"{'WATCH_ONLY_CYCLICAL_DISABLED': 140, 'WATCH_ONLY_DAILY_ADD_LIMIT': 4, 'WATCH_ONLY_PORTFOLIO_FULL': 2}",False,False,False,False,False,,False,"sharpe,max_drawdown,total_trades,avg_cash_ratio_in_risk_on",0.69579,0.733083
quality_strict_winner_sw16,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,True,"quality_defensive_fill,winner_add",50000.0,100,5,0.18,0,0.09801354030846987,0.30914827447399995,-0.1701421946950833,0.6065445259335438,10,8,2,0.6742848825839642,0.2756094231571313,0.22738224594749634,0.39540178364474005,15471.089157999999,0.0,5929.0301580000005,9542.059000000001,1,1,15,2,0,0,0,0.0,False,94,93,0.38095238095238093,1,"{'WATCH_ONLY_CYCLICAL_DISABLED': 74, 'WATCH_ONLY_PORTFOLIO_FULL': 18, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 13, 'WATCH_ONLY_DAILY_ADD_LIMIT': 1}",False,False,False,False,False,QUALITY_FILL_OVERTRADING_OR_LOW_EDGE,False,"sharpe,max_drawdown,total_trades,executable_account_actionable_ratio",0.716036,0.616969
quality_balanced_winner_sw16,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,True,"quality_defensive_fill,winner_add",50000.0,100,5,0.18,0,0.09801354030846987,0.30914827447399995,-0.1701421946950833,0.6065445259335438,10,8,2,0.6742848825839642,0.2756094231571313,0.22738224594749634,0.39540178364474005,15471.089157999999,0.0,5929.0301580000005,9542.059000000001,2,1,15,2,0,0,0,0.0,False,94,93,0.38095238095238093,1,"{'WATCH_ONLY_CYCLICAL_DISABLED': 74, 'WATCH_ONLY_PORTFOLIO_FULL': 18, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 13, 'WATCH_ONLY_DAILY_ADD_LIMIT': 1}",False,False,False,False,False,QUALITY_FILL_OVERTRADING_OR_LOW_EDGE,False,"sharpe,max_drawdown,total_trades,executable_account_actionable_ratio",0.716036,0.616969
regime_review_strict_fin1,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,True,"quality_defensive_fill,financial_group_cap,market_regime_block_review",50000.0,100,5,0.18,0,0.07749246996678072,0.23989209976500003,-0.13897808413627877,0.5206167330539331,7,6,1,0.7110833270786104,0.26500361067310696,0.3406058854907973,0.4461076743941869,12006.8394024,0.0,1356.5259024000018,10650.3135,3,0,0,0,1,4,0,0.0,False,95,93,1.0,1,"{'WATCH_ONLY_CYCLICAL_DISABLED': 25, 'WATCH_ONLY_PORTFOLIO_FULL': 1}",False,False,False,False,False,GROUP_CAP_RETURN_TRADEOFF,False,"sharpe,max_drawdown,total_trades",0.717943,0.630622
