date,variant,market_regime,raw_buy_signal_count,account_actionable_buy_count,watch_only_count,executable_buy_count,holdings_count,cash,nav,cash_ratio,exposure,quality_defensive_fill_executed_today,winner_add_executed_today,market_regime_review_fills_today,cash_sleeve_trades_today,replacement_count
2023-04-03,repair_best_baseline,risk_on,1,1,0,1,1,41695.3603553,49963.3603553,0.8345187365060215,0.16548126349397854,0,0,0,0,0
2023-04-04,repair_best_baseline,risk_on,0,0,0,0,1,41695.3603553,49819.3603553,0.8369308649877972,0.16306913501220283,0,0,0,0,0
2023-04-06,repair_best_baseline,neutral,1,1,0,1,2,37899.32538635,49952.32538635,0.7587099317844048,0.2412900682155952,0,0,0,0,0
2023-04-07,repair_best_baseline,risk_on,0,0,0,0,2,37899.32538635,50025.32538635,0.7576027760669255,0.24239722393307456,0,0,0,0,0
2023-04-10,repair_best_baseline,risk_on,0,0,0,0,2,37899.32538635,49832.32538635,0.7605369625542566,0.2394630374457434,0,0,0,0,0
2023-04-11,repair_best_baseline,neutral,0,0,0,0,2,37899.32538635,49829.32538635,0.7605827510707571,0.2394172489292429,0,0,0,0,0
2023-04-12,repair_best_baseline,neutral,1,0,1,0,2,37899.32538635,49862.32538635,0.7600793804278748,0.2399206195721252,0,0,0,0,0
2023-04-13,repair_best_baseline,neutral,1,0,1,0,2,37899.32538635,50013.32538635,0.7577845522884139,0.2422154477115861,0,0,0,0,0
2023-04-14,repair_best_baseline,neutral,1,0,1,0,2,37899.32538635,50455.32538635,0.7511461891513863,0.24885381084861372,0,0,0,0,0
2023-04-17,repair_best_baseline,risk_on,1,0,1,0,2,37899.32538635,50713.32538635,0.7473247927959973,0.25267520720400277,0,0,0,0,0
2023-04-18,repair_best_baseline,risk_on,1,0,1,0,2,37899.32538635,50637.32538635,0.7484464295297535,0.25155357047024657,0,0,0,0,0
2023-04-19,repair_best_baseline,risk_on,0,0,0,0,2,37899.32538635,50523.32538635,0.7501352117370593,0.2498647882629407,0,0,0,0,0
2023-04-20,repair_best_baseline,risk_on,1,0,1,0,2,37899.32538635,50171.32538635,0.7553981301969189,0.2446018698030811,0,0,0,0,0
2023-04-21,repair_best_baseline,neutral,0,0,0,0,2,37899.32538635,49867.32538635,0.7600031702667583,0.23999682973324166,0,0,0,0,0
2023-04-24,repair_best_baseline,neutral,1,1,0,1,3,32651.12939975,50085.12939975,0.6519126493444375,0.3480873506555625,0,0,0,0,0
2023-04-25,repair_best_baseline,neutral,0,0,0,0,3,32651.12939975,49984.12939975,0.6532299310171301,0.3467700689828699,0,0,0,0,0
2023-04-26,repair_best_baseline,neutral,0,0,0,0,3,32651.12939975,50041.12939975,0.652485860958868,0.34751413904113204,0,0,0,0,0
