date,signal_date,symbol,ts_code,name,industry,bucket,side,action,signal_level,shares,price,amount,fee,tax,cash_before,cash_after,target_weight,realized_pnl,fill_price_field,execution_mode,variant,replacement_simulated,deployment_repair_overlay
2023-04-04,2023-04-03,600036.sh,600036.sh,招商银行,银行,defensive_dividend,BUY,BUY_1,BUY_1,300.0,27.67383,8302.149,2.4906447,0.0,50000.0,41695.3603553,0.17,0.0,open,next_bar,repair_best_baseline,,
2023-04-07,2023-04-06,601318.sh,601318.sh,中国平安,非银金融,defensive_dividend,BUY,BUY_1,BUY_1,100.0,37.948965,3794.8965000000003,1.13846895,0.0,41695.3603553,37899.32538635,0.12,0.0,open,next_bar,repair_best_baseline,,
2023-04-25,2023-04-24,601166.sh,601166.sh,兴业银行,银行,defensive_dividend,BUY,BUY_1,BUY_1,400.0,13.116554999999998,5246.621999999999,1.5739865999999996,0.0,37899.32538635,32651.12939975,0.12,0.0,open,next_bar,repair_best_baseline,,
2023-05-05,2023-05-04,002032.sz,002032.sz,苏 泊 尔,家用电器,defensive_dividend,BUY,BUY_1,BUY_1,100.0,42.07102499999999,4207.102499999999,1.2621307499999996,0.0,32651.12939975,28442.764769,0.12,0.0,open,next_bar,repair_best_baseline,,
2023-05-12,2023-05-11,000651.sz,000651.sz,格力电器,家用电器,defensive_dividend,BUY,BUY_1,BUY_1,200.0,26.703345,5340.669,1.6022006999999998,0.0,28442.764769,23100.4935683,0.12,0.0,open,next_bar,repair_best_baseline,,
2024-10-31,2024-10-30,000651.sz,000651.sz,000651.sz,家用电器,defensive_dividend,SELL,SELL_ALL,SELL_ALL,200.0,40.489745,8097.949,2.4293846999999995,4.0489745,23100.4935683,31191.9642091,0.0,2750.8016408,open,next_bar,repair_best_baseline,True,
2024-10-31,2024-10-30,600803.sh,600803.sh,新奥股份,公用事业,defensive_dividend,BUY,BUY_1,BUY_1,500.0,17.428710000000002,8714.355000000001,2.6143065,0.0,31191.9642091,22474.994902599996,0.17,0.0,open,next_bar,repair_best_baseline,True,
2025-03-17,2025-03-14,601166.sh,601166.sh,兴业银行,银行,defensive_dividend,SELL,SELL_ALL,SELL_ALL,400.0,20.219885,8087.954000000001,2.4263862,4.043977000000001,22474.994902599996,30556.478539399995,0.0,2834.8616368000016,open,next_bar,repair_best_baseline,,
2025-03-28,2025-03-27,600011.sh,600011.sh,华能国际,公用事业,defensive_dividend,BUY,BUY_1,BUY_1,1600.0,6.573285,10517.256000000001,3.1551768,0.0,30556.478539399995,20036.06736259999,0.17,0.0,open,next_bar,repair_best_baseline,,
2026-03-04,2026-03-03,600803.sh,600803.sh,新奥股份,公用事业,defensive_dividend,SELL,SELL_ALL,SELL_ALL,500.0,24.537725000000002,12268.862500000001,3.68065875,6.1344312500000004,20036.06736259999,32295.11477259999,0.0,3544.6924099999997,open,next_bar,repair_best_baseline,,
2023-04-04,2023-04-03,600036.sh,600036.sh,招商银行,银行,defensive_dividend,BUY,BUY_1,BUY_1,300.0,27.67383,8302.149,2.4906447,0.0,50000.0,41695.3603553,0.17,0.0,open,next_bar,quality_strict_winner_sw18,,
2023-04-06,2023-04-04,600018.sh,600018.sh,上港集团,交通运输,defensive_dividend,BUY,BUY_DEFENSIVE_FILL,BUY_DEFENSIVE_FILL,1700.0,4.992495,8487.2415,2.54617245,0.0,41695.3603553,33205.57268285,0.17,0.0,open,next_bar,quality_strict_winner_sw18,,quality_defensive_fill
2023-04-07,2023-04-06,601318.sh,601318.sh,中国平安,非银金融,defensive_dividend,BUY,BUY_1,BUY_1,100.0,37.948965,3794.8965000000003,1.13846895,0.0,33205.57268285,29409.537713899997,0.12,0.0,open,next_bar,quality_strict_winner_sw18,,
2023-04-25,2023-04-24,601166.sh,601166.sh,兴业银行,银行,defensive_dividend,BUY,BUY_1,BUY_1,400.0,13.116554999999998,5246.621999999999,1.5739865999999996,0.0,29409.537713899997,24161.341727299998,0.12,0.0,open,next_bar,quality_strict_winner_sw18,,
2023-05-30,2023-05-29,000333.sz,000333.sz,美的集团,家用电器,defensive_dividend,BUY,BUY_1,BUY_1,100.0,44.072025,4407.202499999999,1.3221607499999997,0.0,24161.341727299998,19752.81706655,0.12,0.0,open,next_bar,quality_strict_winner_sw18,,
2023-08-02,2023-08-01,601318.sh,601318.sh,中国平安,非银金融,defensive_dividend,BUY,BUY_WINNER_ADD,BUY_WINNER_ADD,100.0,45.74285999999999,4574.285999999999,1.3722857999999996,0.0,19752.81706655,15177.15878075,0.17512901756545124,0.0,open,next_bar,quality_strict_winner_sw18,,winner_add
2025-03-17,2025-03-14,601166.sh,601166.sh,兴业银行,银行,defensive_dividend,SELL,SELL_ALL,SELL_ALL,400.0,20.219885,8087.954000000001,2.4263862,4.043977000000001,15177.15878075,23258.64241755,0.0,2834.8616368000016,open,next_bar,quality_strict_winner_sw18,,
2025-08-05,2025-08-04,600018.sh,600018.sh,上港集团,交通运输,defensive_dividend,BUY,BUY_WINNER_ADD,BUY_WINNER_ADD,100.0,5.602799999999999,560.28,0.16808399999999998,0.0,23258.64241755,22698.19433355,0.1566561591295872,0.0,open,next_bar,quality_strict_winner_sw18,,winner_add
2025-10-28,2025-10-27,600018.sh,600018.sh,上港集团,交通运输,defensive_dividend,BUY,BUY_WINNER_ADD,BUY_WINNER_ADD,100.0,5.612805,561.2805,0.16838414999999998,0.0,22698.19433355,22136.7454494,0.16690322405089272,0.0,open,next_bar,quality_strict_winner_sw18,,winner_add
