condition_name,fail_count,fail_ratio,median_gap_to_pass,best_gap_to_pass,worst_gap_to_pass,variants_close_to_pass_count,interpretation,blocker_rank
neighborhood_robustness,17,1.0,3.0,3.0,3.0,17,邻域鲁棒性不足,PRIMARY_BLOCKER
sharpe,17,1.0,0.4776794378352831,0.1301467473814537,0.6288905004940398,0,组合质量不足,PRIMARY_BLOCKER
annual_return,15,0.8823529411764706,0.0195196298479403,0.002047435844004103,0.0429951242686373,8,收益能力不足,PRIMARY_BLOCKER
avg_cash_ratio_in_risk_on,14,0.8235294117647058,0.08721896893551748,0.0044751052190647456,0.28457773334350644,3,执行与资金利用不足,SECONDARY_BLOCKER
total_trades,11,0.6470588235294118,5.0,3.0,11.0,8,执行与资金利用不足,SECONDARY_BLOCKER
max_drawdown,8,0.47058823529411764,0.08605952496876551,0.040390604474038305,0.0946187027135452,0,组合质量不足,SECONDARY_BLOCKER
cyclical_rotation_pnl,5,0.29411764705882354,1076.9549491999987,594.8765340000018,1808.8503851999976,11,周期 bucket 负贡献,MINOR_BLOCKER
largest_single_stock_pnl_contribution,2,0.11764705882352941,0.023031081518617325,0.009130139817590477,0.03693202321964417,1,组合质量不足,MINOR_BLOCKER
largest_industry_pnl_contribution,2,0.11764705882352941,0.011336094463264224,0.0020862594534387657,0.02058592947308968,1,组合质量不足,MINOR_BLOCKER
executable_account_actionable_ratio,0,0.0,0.0,0.0,0.0,0,passed in sampled variants,MINOR_BLOCKER
realized_pnl,0,0.0,0.0,0.0,0.0,0,passed in sampled variants,MINOR_BLOCKER
