variant,profile,research_only,capital,round_lot,min_trade_value,max_positions,max_tranches,target_universe_size,cash_reserve_ratio,max_single_stock_weight,max_new_positions_per_day,max_adds_per_day,industry_max_positions,cyclical_max_positions,defensive_core_min_positions,lot_notional_max_ratio_to_target_budget,score_gap_threshold,max_replacements_per_month,risk_on_target_exposure,neutral_target_exposure,risk_off_target_exposure,module_control,replacement_enabled,cyclical_overlay_enabled,annual_return,cumulative_return,max_drawdown,sharpe,total_trades,buy_trades,sell_trades,executable_buy_count,account_actionable_buy_count,executable_account_actionable_ratio,raw_buy_signal_count,watch_only_count,top_watch_only_reasons,average_exposure,max_exposure,average_cash_ratio,avg_cash_ratio_in_risk_on,average_positions,max_positions_seen,largest_single_stock_pnl_contribution,largest_industry_pnl_contribution,defensive_dividend_pnl,cyclical_rotation_pnl,realized_pnl,unrealized_pnl,replacement_count,replacement_realized_pnl,auto_trading_approved,broker_integration_enabled,llm_decision_allowed,repair_mechanism,writes_real_trades,release_profile_replacement,pass_hard_conditions,fail_reasons
mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,50000.0,100,1500.0,5,1,8,0.1,0.18,1,0,2,0,3,1.0,8,1,0.85,0.6,0.25,disable_both,True,True,0.09802926707249804,0.30920229545199973,-0.1603906044740383,0.6198532526185463,10,7,3,7,7,1.0,152,146,"{'WATCH_ONLY_CYCLICAL_DISABLED': 140, 'WATCH_ONLY_DAILY_ADD_LIMIT': 4, 'WATCH_ONLY_PORTFOLIO_FULL': 2}",0.5933467815083991,0.704513583289827,0.40665321849160085,0.3645564696506779,4.87465564738292,5,0.2290748014187305,0.41054235951187096,15473.951687599998,0.0,9130.3556876,6343.595999999999,1,2750.8016408,False,False,False,risk_on_cash_utilization,False,False,False,"sharpe,max_drawdown,total_trades,avg_cash_ratio_in_risk_on"
mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap6_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_rep_gap6_hold20_rpm1,combined_v2_50k_core,True,50000.0,100,1500.0,5,1,8,0.1,0.18,1,0,2,0,3,1.0,6,1,0.85,0.6,0.25,disable_both,True,True,0.09802926707249804,0.30920229545199973,-0.1603906044740383,0.6198532526185463,10,7,3,7,7,1.0,152,146,"{'WATCH_ONLY_CYCLICAL_DISABLED': 140, 'WATCH_ONLY_DAILY_ADD_LIMIT': 4, 'WATCH_ONLY_PORTFOLIO_FULL': 2}",0.5933467815083991,0.704513583289827,0.40665321849160085,0.3645564696506779,4.87465564738292,5,0.2290748014187305,0.41054235951187096,15473.951687599998,0.0,9130.3556876,6343.595999999999,1,2750.8016408,False,False,False,replacement_repair,False,False,False,"sharpe,max_drawdown,total_trades,avg_cash_ratio_in_risk_on"
mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap6_rpm2_ro85_ne60_rf25_rep1_cyc1_disable_both_rep_gap6_hold20_rpm2,combined_v2_50k_core,True,50000.0,100,1500.0,5,1,8,0.1,0.18,1,0,2,0,3,1.0,6,2,0.85,0.6,0.25,disable_both,True,True,0.09802926707249804,0.30920229545199973,-0.1603906044740383,0.6198532526185463,10,7,3,7,7,1.0,152,146,"{'WATCH_ONLY_CYCLICAL_DISABLED': 140, 'WATCH_ONLY_DAILY_ADD_LIMIT': 4, 'WATCH_ONLY_PORTFOLIO_FULL': 2}",0.5933467815083991,0.704513583289827,0.40665321849160085,0.3645564696506779,4.87465564738292,5,0.2290748014187305,0.41054235951187096,15473.951687599998,0.0,9130.3556876,6343.595999999999,1,2750.8016408,False,False,False,replacement_repair,False,False,False,"sharpe,max_drawdown,total_trades,avg_cash_ratio_in_risk_on"
mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap6_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_rep_gap6_hold40_rpm1,combined_v2_50k_core,True,50000.0,100,1500.0,5,1,8,0.1,0.18,1,0,2,0,3,1.0,6,1,0.85,0.6,0.25,disable_both,True,True,0.09802926707249804,0.30920229545199973,-0.1603906044740383,0.6198532526185463,10,7,3,7,7,1.0,152,146,"{'WATCH_ONLY_CYCLICAL_DISABLED': 140, 'WATCH_ONLY_DAILY_ADD_LIMIT': 4, 'WATCH_ONLY_PORTFOLIO_FULL': 2}",0.5933467815083991,0.704513583289827,0.40665321849160085,0.3645564696506779,4.87465564738292,5,0.2290748014187305,0.41054235951187096,15473.951687599998,0.0,9130.3556876,6343.595999999999,1,2750.8016408,False,False,False,replacement_repair,False,False,False,"sharpe,max_drawdown,total_trades,avg_cash_ratio_in_risk_on"
mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap6_rpm2_ro85_ne60_rf25_rep1_cyc1_disable_both_rep_gap6_hold40_rpm2,combined_v2_50k_core,True,50000.0,100,1500.0,5,1,8,0.1,0.18,1,0,2,0,3,1.0,6,2,0.85,0.6,0.25,disable_both,True,True,0.09802926707249804,0.30920229545199973,-0.1603906044740383,0.6198532526185463,10,7,3,7,7,1.0,152,146,"{'WATCH_ONLY_CYCLICAL_DISABLED': 140, 'WATCH_ONLY_DAILY_ADD_LIMIT': 4, 'WATCH_ONLY_PORTFOLIO_FULL': 2}",0.5933467815083991,0.704513583289827,0.40665321849160085,0.3645564696506779,4.87465564738292,5,0.2290748014187305,0.41054235951187096,15473.951687599998,0.0,9130.3556876,6343.595999999999,1,2750.8016408,False,False,False,replacement_repair,False,False,False,"sharpe,max_drawdown,total_trades,avg_cash_ratio_in_risk_on"
mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_rep_gap8_hold20_rpm1,combined_v2_50k_core,True,50000.0,100,1500.0,5,1,8,0.1,0.18,1,0,2,0,3,1.0,8,1,0.85,0.6,0.25,disable_both,True,True,0.09802926707249804,0.30920229545199973,-0.1603906044740383,0.6198532526185463,10,7,3,7,7,1.0,152,146,"{'WATCH_ONLY_CYCLICAL_DISABLED': 140, 'WATCH_ONLY_DAILY_ADD_LIMIT': 4, 'WATCH_ONLY_PORTFOLIO_FULL': 2}",0.5933467815083991,0.704513583289827,0.40665321849160085,0.3645564696506779,4.87465564738292,5,0.2290748014187305,0.41054235951187096,15473.951687599998,0.0,9130.3556876,6343.595999999999,1,2750.8016408,False,False,False,replacement_repair,False,False,False,"sharpe,max_drawdown,total_trades,avg_cash_ratio_in_risk_on"
mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm2_ro85_ne60_rf25_rep1_cyc1_disable_both_rep_gap8_hold20_rpm2,combined_v2_50k_core,True,50000.0,100,1500.0,5,1,8,0.1,0.18,1,0,2,0,3,1.0,8,2,0.85,0.6,0.25,disable_both,True,True,0.09802926707249804,0.30920229545199973,-0.1603906044740383,0.6198532526185463,10,7,3,7,7,1.0,152,146,"{'WATCH_ONLY_CYCLICAL_DISABLED': 140, 'WATCH_ONLY_DAILY_ADD_LIMIT': 4, 'WATCH_ONLY_PORTFOLIO_FULL': 2}",0.5933467815083991,0.704513583289827,0.40665321849160085,0.3645564696506779,4.87465564738292,5,0.2290748014187305,0.41054235951187096,15473.951687599998,0.0,9130.3556876,6343.595999999999,1,2750.8016408,False,False,False,replacement_repair,False,False,False,"sharpe,max_drawdown,total_trades,avg_cash_ratio_in_risk_on"
mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_rep_gap8_hold40_rpm1,combined_v2_50k_core,True,50000.0,100,1500.0,5,1,8,0.1,0.18,1,0,2,0,3,1.0,8,1,0.85,0.6,0.25,disable_both,True,True,0.09802926707249804,0.30920229545199973,-0.1603906044740383,0.6198532526185463,10,7,3,7,7,1.0,152,146,"{'WATCH_ONLY_CYCLICAL_DISABLED': 140, 'WATCH_ONLY_DAILY_ADD_LIMIT': 4, 'WATCH_ONLY_PORTFOLIO_FULL': 2}",0.5933467815083991,0.704513583289827,0.40665321849160085,0.3645564696506779,4.87465564738292,5,0.2290748014187305,0.41054235951187096,15473.951687599998,0.0,9130.3556876,6343.595999999999,1,2750.8016408,False,False,False,replacement_repair,False,False,False,"sharpe,max_drawdown,total_trades,avg_cash_ratio_in_risk_on"
mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm2_ro85_ne60_rf25_rep1_cyc1_disable_both_rep_gap8_hold40_rpm2,combined_v2_50k_core,True,50000.0,100,1500.0,5,1,8,0.1,0.18,1,0,2,0,3,1.0,8,2,0.85,0.6,0.25,disable_both,True,True,0.09802926707249804,0.30920229545199973,-0.1603906044740383,0.6198532526185463,10,7,3,7,7,1.0,152,146,"{'WATCH_ONLY_CYCLICAL_DISABLED': 140, 'WATCH_ONLY_DAILY_ADD_LIMIT': 4, 'WATCH_ONLY_PORTFOLIO_FULL': 2}",0.5933467815083991,0.704513583289827,0.40665321849160085,0.3645564696506779,4.87465564738292,5,0.2290748014187305,0.41054235951187096,15473.951687599998,0.0,9130.3556876,6343.595999999999,1,2750.8016408,False,False,False,replacement_repair,False,False,False,"sharpe,max_drawdown,total_trades,avg_cash_ratio_in_risk_on"
mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_rep_gap10_hold20_rpm1,combined_v2_50k_core,True,50000.0,100,1500.0,5,1,8,0.1,0.18,1,0,2,0,3,1.0,10,1,0.85,0.6,0.25,disable_both,True,True,0.09802926707249804,0.30920229545199973,-0.1603906044740383,0.6198532526185463,10,7,3,7,7,1.0,152,146,"{'WATCH_ONLY_CYCLICAL_DISABLED': 140, 'WATCH_ONLY_DAILY_ADD_LIMIT': 4, 'WATCH_ONLY_PORTFOLIO_FULL': 2}",0.5933467815083991,0.704513583289827,0.40665321849160085,0.3645564696506779,4.87465564738292,5,0.2290748014187305,0.41054235951187096,15473.951687599998,0.0,9130.3556876,6343.595999999999,1,2750.8016408,False,False,False,replacement_repair,False,False,False,"sharpe,max_drawdown,total_trades,avg_cash_ratio_in_risk_on"
mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap10_rpm2_ro85_ne60_rf25_rep1_cyc1_disable_both_rep_gap10_hold20_rpm2,combined_v2_50k_core,True,50000.0,100,1500.0,5,1,8,0.1,0.18,1,0,2,0,3,1.0,10,2,0.85,0.6,0.25,disable_both,True,True,0.09802926707249804,0.30920229545199973,-0.1603906044740383,0.6198532526185463,10,7,3,7,7,1.0,152,146,"{'WATCH_ONLY_CYCLICAL_DISABLED': 140, 'WATCH_ONLY_DAILY_ADD_LIMIT': 4, 'WATCH_ONLY_PORTFOLIO_FULL': 2}",0.5933467815083991,0.704513583289827,0.40665321849160085,0.3645564696506779,4.87465564738292,5,0.2290748014187305,0.41054235951187096,15473.951687599998,0.0,9130.3556876,6343.595999999999,1,2750.8016408,False,False,False,replacement_repair,False,False,False,"sharpe,max_drawdown,total_trades,avg_cash_ratio_in_risk_on"
mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_rep_gap10_hold40_rpm1,combined_v2_50k_core,True,50000.0,100,1500.0,5,1,8,0.1,0.18,1,0,2,0,3,1.0,10,1,0.85,0.6,0.25,disable_both,True,True,0.09802926707249804,0.30920229545199973,-0.1603906044740383,0.6198532526185463,10,7,3,7,7,1.0,152,146,"{'WATCH_ONLY_CYCLICAL_DISABLED': 140, 'WATCH_ONLY_DAILY_ADD_LIMIT': 4, 'WATCH_ONLY_PORTFOLIO_FULL': 2}",0.5933467815083991,0.704513583289827,0.40665321849160085,0.3645564696506779,4.87465564738292,5,0.2290748014187305,0.41054235951187096,15473.951687599998,0.0,9130.3556876,6343.595999999999,1,2750.8016408,False,False,False,replacement_repair,False,False,False,"sharpe,max_drawdown,total_trades,avg_cash_ratio_in_risk_on"
mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap10_rpm2_ro85_ne60_rf25_rep1_cyc1_disable_both_rep_gap10_hold40_rpm2,combined_v2_50k_core,True,50000.0,100,1500.0,5,1,8,0.1,0.18,1,0,2,0,3,1.0,10,2,0.85,0.6,0.25,disable_both,True,True,0.09802926707249804,0.30920229545199973,-0.1603906044740383,0.6198532526185463,10,7,3,7,7,1.0,152,146,"{'WATCH_ONLY_CYCLICAL_DISABLED': 140, 'WATCH_ONLY_DAILY_ADD_LIMIT': 4, 'WATCH_ONLY_PORTFOLIO_FULL': 2}",0.5933467815083991,0.704513583289827,0.40665321849160085,0.3645564696506779,4.87465564738292,5,0.2290748014187305,0.41054235951187096,15473.951687599998,0.0,9130.3556876,6343.595999999999,1,2750.8016408,False,False,False,replacement_repair,False,False,False,"sharpe,max_drawdown,total_trades,avg_cash_ratio_in_risk_on"
