refresh_date,raw_a_share_count,after_non_st_count,after_listed_days_count,after_liquidity_count,after_market_cap_count,after_industry_available_count,after_core_fields_count,defensive_candidates_count,cyclical_candidates_count,candidate_pool_size,effective_universe_size,retained_count,new_count,dropped_count,avg_final_score,min_final_score,max_final_score,industry_count,max_names_per_industry_observed
2023-04-03,4821,4821,3371,3303,361,144,133,39,18,56,28,0,28,0,81.04818928571429,68.6093,92.0511,10,3
2023-05-04,4826,4826,3356,3284,349,143,128,2,14,35,23,14,9,14,79.67240000000001,68.8572,89.9344,9,3
2023-06-01,4869,4869,3385,3298,345,138,124,2,16,19,13,11,2,12,78.46232307692308,69.2461,86.18,7,3
2023-07-03,4902,4902,3399,3300,346,142,127,2,16,19,13,12,1,1,77.8606923076923,68.577,85.3155,7,3
2023-08-01,4938,4938,3414,3329,371,151,137,4,13,17,14,11,3,2,74.16265714285714,59.7547,84.4866,8,3
2023-09-01,4964,4964,3449,3365,341,142,130,24,26,54,29,13,16,1,79.97272068965518,65.2057,88.3857,11,3
2023-10-09,4975,4975,3460,3378,330,140,129,22,29,54,30,29,1,0,79.58931666666668,63.797,89.1115,11,3
2023-11-01,4989,4989,3473,3379,312,130,122,32,31,63,31,28,3,2,82.89278387096772,69.61,92.3305,11,3
2023-12-01,4997,4997,3485,3388,320,132,125,35,31,66,31,30,1,1,83.88664838709677,70.1552,92.0799,11,3
2024-01-02,5008,5008,3518,3426,311,133,126,37,31,67,31,31,0,0,84.0387064516129,68.749,93.0296,11,3
2024-02-01,5021,5021,3547,3451,272,125,120,34,28,62,29,27,2,4,83.39002068965516,64.9215,93.8084,10,3
2024-03-01,5026,5026,3559,3458,313,138,132,33,27,60,30,28,2,1,81.52744333333334,64.1856,92.1513,11,3
2024-04-01,5033,5033,3584,3461,319,138,133,33,25,58,29,29,0,1,81.39933103448277,62.2809,93.0043,10,3
2024-05-06,5035,5035,3599,3460,332,144,140,2,10,13,12,6,6,23,76.46876666666668,70.3874,84.0626,8,3
2024-06-03,5039,5039,3614,3482,314,140,137,1,10,12,12,11,1,1,76.71713333333334,71.5333,81.4969,8,3
2024-07-01,5044,5044,3636,3502,303,137,134,2,11,14,12,12,0,0,78.323775,71.4525,83.7447,8,3
2024-08-01,5048,5048,3660,3515,297,136,133,4,14,17,14,12,2,0,80.1308857142857,73.1832,87.8113,9,3
2024-09-02,5054,5054,3704,3543,287,133,126,26,25,45,29,13,16,1,81.45603793103449,66.2933,90.3911,12,3
2024-10-08,5058,5058,3742,3590,389,172,163,24,17,40,25,22,3,7,73.779472,64.2437,81.764,11,3
2024-11-01,5060,5060,3793,3649,376,170,159,35,23,59,28,23,5,2,79.02193214285714,68.9752,86.5148,11,3
2024-12-02,5071,5071,3850,3700,374,167,156,36,24,60,27,26,1,2,78.85644444444443,67.9143,87.9197,12,3
2025-01-02,5076,5076,3875,3658,353,155,148,37,26,62,29,26,3,1,77.42742068965516,64.967,86.9644,12,3
2025-02-05,5092,5092,3915,3715,364,155,147,36,25,62,31,27,4,2,77.70583548387098,67.7475,85.4684,12,3
2025-03-03,5092,5092,3951,3729,378,157,148,37,26,64,31,31,0,0,78.33910967741934,69.848,88.3923,12,3
2025-04-01,5105,5105,3995,3808,381,160,152,38,23,60,31,29,2,2,78.65238709677422,69.8297,89.2264,12,3
2025-05-06,5113,5113,4020,3844,375,158,150,5,18,23,15,11,4,20,80.31203333333336,69.8526,86.3587,10,3
2025-06-03,5109,5109,4058,3895,383,163,156,5,18,24,16,15,1,0,78.026675,69.3674,84.3434,10,3
2025-07-01,5124,5124,4115,3943,408,170,162,4,14,20,14,14,0,2,77.77842857142858,73.5135,84.9325,9,3
2025-08-01,5133,5133,4168,3990,431,179,172,4,13,18,14,14,0,0,76.52252857142857,70.2192,85.2322,9,3
2025-09-01,5135,5135,4216,4024,494,203,195,18,25,34,23,13,10,1,73.87438695652176,66.3234,83.3364,11,3
2025-10-09,5137,5137,4260,4041,518,208,201,22,18,40,25,21,4,2,74.53276799999999,66.1602,84.6266,11,3
2025-11-03,5149,5149,4291,4070,506,210,200,39,25,64,30,22,8,3,73.96454666666665,61.6181,84.5984,12,3
2025-12-01,5146,5146,4318,4095,493,206,195,41,25,70,33,29,4,1,73.3263515151515,62.0746,85.0754,12,3
2026-01-05,5169,5169,4372,4164,527,222,210,36,22,59,31,27,4,6,73.34994193548386,61.8974,86.4127,12,3
2026-02-02,5173,5173,4401,4190,554,235,223,35,21,51,25,24,1,7,74.10071599999999,63.7829,87.8628,11,3
2026-03-02,5176,5176,4424,4213,596,256,242,36,15,52,25,23,2,2,73.393708,63.2716,86.5973,10,3
2026-04-01,5190,5190,4464,4232,547,236,227,41,22,62,31,23,8,2,74.61181935483872,62.4747,90.8146,11,3
