date,ts_code,name,bucket,side,action,signal_level,shares,price,amount,fee,tax,slippage,slippage_cost,cash_before,cash_after,position_before,position_after,weight_before,weight_after,target_weight,entry_reason,exit_reason,holding_days,realized_pnl,unrealized_pnl_after_trade,market_regime,execution_mode,fill_price_field,execution_adjustment,execution_reason_code
2023-04-04,600036.sh,招商银行,defensive_dividend,BUY,BUY_1,BUY_1,100.0,27.67383,2767.383,0.8302148999999999,0.0,0.013829999999998677,1.3829999999998677,50000.0,47231.7867851,0.0,100.0,0.0,0.05534765999999999,0.0553,高股息补充触发 BUY_1。,,0,0.0,-11.38300000000001,risk_on,next_bar,open,,
2023-04-06,601318.sh,中国平安,defensive_dividend,BUY,BUY_1,BUY_1,100.0,38.209095,3820.9094999999998,1.14627285,0.0,0.019095000000000084,1.9095000000000084,47231.7867851,43409.73101225,0.0,100.0,0.0,0.07643686079614369,0.076439,高股息补充触发 BUY_1。,,0,0.0,-48.909499999999895,risk_on,next_bar,open,,
2023-04-07,600000.sh,浦发银行,defensive_dividend,BUY,BUY_1,BUY_1,300.0,6.143069999999999,1842.9209999999996,0.5528762999999999,0.0,0.00306999999999924,0.920999999999772,43409.73101225,41566.25713595,0.0,300.0,0.0,0.03693988647779011,0.036861,高股息补充触发 BUY_1。,,0,0.0,11.079000000000239,neutral,next_bar,open,,
2023-04-13,000877.sz,天山股份,cyclical_rotation,BUY,BUY_1,BUY_1,200.0,8.82441,1764.882,0.5294646,0.0,0.004410000000000025,0.882000000000005,41566.25713595,39800.84567135,0.0,200.0,0.0,0.035339866096314745,0.035362,满足 cyclical BUY_1。,,0,0.0,-14.882000000000062,neutral,next_bar,open,,
2023-04-17,601166.sh,兴业银行,defensive_dividend,BUY,BUY_1,BUY_1,200.0,13.276634999999999,2655.3269999999998,0.7965980999999999,0.0,0.00663499999999928,1.326999999999856,39800.84567135,37144.72207325,0.0,200.0,0.0,0.05309289972118326,0.053026,高股息补充触发 BUY_1。,,0,0.0,38.67300000000036,neutral,next_bar,open,,
2023-04-25,600346.sh,恒力石化,defensive_dividend,BUY,BUY_1,BUY_1,200.0,14.757375,2951.475,0.8854424999999999,0.0,0.007374999999999687,1.4749999999999375,37144.72207325,34192.36163075,0.0,200.0,0.0,0.05906172162632504,0.058992,高股息补充触发 BUY_1。,,0,0.0,-51.47499999999994,neutral,next_bar,open,,
2023-04-28,601866.sh,中远海发,defensive_dividend,BUY,BUY_1,BUY_1,800.0,2.391195,1912.9560000000001,0.5738868,0.0,0.0011950000000000571,0.9560000000000457,34192.36163075,32278.83174395,0.0,800.0,0.0,0.03810110585114656,0.038082,高股息补充触发 BUY_1。,,0,0.0,23.043999999999798,neutral,next_bar,open,,
2023-05-05,002032.sz,苏 泊 尔,defensive_dividend,BUY,BUY_1,BUY_1,100.0,42.07102499999999,4207.102499999999,1.2621307499999996,0.0,0.02102499999999452,2.102499999999452,32278.83174395,28070.4671132,0.0,100.0,0.0,0.0830674368985096,0.08352,高股息补充触发 BUY_1。,,0,0.0,60.897500000000804,neutral,next_bar,open,,
2023-05-08,000651.sz,格力电器,defensive_dividend,BUY,BUY_1,BUY_1,100.0,27.99399,2799.399,0.8398197,0.0,0.013989999999999725,1.3989999999999725,28070.4671132,25270.2282935,0.0,100.0,0.0,0.055009398973916074,0.054687,高股息补充触发 BUY_1。,,0,0.0,-70.3990000000001,neutral,next_bar,open,,
2023-05-22,600018.sh,上港集团,defensive_dividend,BUY,BUY_1,BUY_1,400.0,4.872434999999999,1948.9739999999997,0.5846921999999999,0.0,0.002434999999999299,0.9739999999997195,25270.2282935,23320.6696013,0.0,400.0,0.0,0.038711420220760094,0.038772,满足 defensive BUY_1。,,0,0.0,-4.973999999999634,neutral,next_bar,open,,
2023-05-25,601211.sh,国泰海通,defensive_dividend,BUY,BUY_1,BUY_1,200.0,13.006499999999999,2601.2999999999997,0.7803899999999998,0.0,0.006499999999999062,1.2999999999998124,23320.6696013,20718.5892113,0.0,200.0,0.0,0.05230039969407833,0.052355,高股息补充触发 BUY_1。,,0,0.0,16.70000000000016,neutral,next_bar,open,,
2023-05-26,000877.sz,天山股份,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,200.0,7.806095,1561.219,0.4683657,0.7806095000000001,0.0039049999999996032,0.7809999999999206,20718.5892113,22278.5592361,200.0,0.0,0.03141564522682032,0.0,0.0,满足 cyclical BUY_1。,trend_stop,28,-204.9119752,0.0,neutral,next_bar,open,,
2023-05-26,601166.sh,兴业银行,defensive_dividend,BUY,BUY_2,BUY_2,200.0,12.856425,2571.285,0.7713854999999998,0.0,0.006425000000000125,1.285000000000025,22278.5592361,19706.5028506,200.0,400.0,0.051740708598245776,0.10348141719649155,0.103188,满足 defensive BUY_2。,,26,0.0,-54.61199999999948,neutral,next_bar,open,,
2023-05-26,600999.sh,招商证券,defensive_dividend,BUY,BUY_1,BUY_1,200.0,12.836414999999999,2567.283,0.7701849,0.0,0.006414999999998727,1.2829999999997455,19706.5028506,17138.4496657,0.0,200.0,0.0,0.05166017831248975,0.051594,满足 defensive BUY_1。,,0,0.0,10.717000000000354,neutral,next_bar,open,,
2023-08-02,600803.sh,新奥股份,defensive_dividend,BUY,BUY_1,BUY_1,100.0,16.598295,1659.8295,0.49794885,0.0,0.008295000000000385,0.8295000000000385,17138.4496657,15478.122216850003,0.0,100.0,0.0,0.031600481491620556,0.031794,高股息补充触发 BUY_1。,,0,0.0,8.170499999999947,risk_on,next_bar,open,,
2023-09-04,600346.sh,恒力石化,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,200.0,13.543225000000001,2708.6450000000004,0.8125935000000001,1.3543225000000003,0.006774999999999309,1.3549999999998619,15478.122216850003,18184.600300850005,200.0,0.0,0.05366616026888058,0.0,0.0,高股息补充触发 BUY_1。,valuation_reversion_exit,89,-244.99691599999946,0.0,risk_off,next_bar,open,,
