signal_date,fill_date,symbol,industry,bucket,action,fill_price,realized_pnl
2023-04-06,2023-04-07,600000.sh,银行,defensive_dividend,BUY_1,6.143069999999999,0.0
2023-04-27,2023-04-28,601866.sh,交通运输,defensive_dividend,BUY_1,2.391195,0.0
2023-05-19,2023-05-22,600018.sh,交通运输,defensive_dividend,BUY_1,4.872434999999999,0.0
2023-08-01,2023-08-02,600803.sh,公用事业,defensive_dividend,BUY_1,16.598295,0.0
2023-09-14,2023-09-15,600926.sh,银行,defensive_dividend,BUY_1,9.96498,0.0
2023-10-19,2023-10-20,600803.sh,公用事业,defensive_dividend,SELL_ALL,14.432780000000001,-217.70612240000005
2023-10-23,2023-10-24,601866.sh,交通运输,defensive_dividend,SELL_ALL,2.0789600000000004,-251.1185343999998
2023-11-28,2023-11-29,600926.sh,银行,defensive_dividend,SELL_ALL,8.645675,-265.2443079999999
2024-09-02,2024-09-03,600803.sh,公用事业,defensive_dividend,BUY_1,16.678335,0.0
2024-11-22,2024-11-25,002532.sz,有色金属,cyclical_rotation,BUY_1,7.5637799999999995,0.0
2025-03-18,2025-03-19,600027.sh,公用事业,defensive_dividend,BUY_1,5.102549999999999,0.0
2025-03-27,2025-03-28,600011.sh,公用事业,defensive_dividend,BUY_1,6.573285,0.0
2025-04-08,2025-04-09,002532.sz,有色金属,cyclical_rotation,SELL_ALL,6.406795000000001,-232.4220871999997
2025-04-10,2025-04-11,601688.sh,非银金融,defensive_dividend,BUY_1,15.057525,0.0
2025-05-13,2025-05-14,600000.sh,银行,defensive_dividend,SELL_ALL,11.57421,1626.5641896000006
2025-05-20,2025-05-21,002532.sz,有色金属,cyclical_rotation,BUY_1,7.503749999999999,0.0
2025-09-01,2025-09-02,002532.sz,有色金属,cyclical_rotation,SELL_ALL,10.1949,536.5988160000003
2025-11-03,2025-11-04,600023.sh,公用事业,defensive_dividend,BUY_1,5.2226099999999995,0.0
2025-12-26,2025-12-29,601688.sh,非银金融,defensive_dividend,SELL_ALL,23.838075000000003,876.1479540000003
2026-02-27,2026-03-02,600018.sh,交通运输,cyclical_rotation,SELL_ALL,5.0574699999999995,72.39560960000013
2026-03-03,2026-03-04,600803.sh,公用事业,defensive_dividend,SELL_ALL,24.537725000000002,783.975982
