signal_date,fill_date,symbol,industry,bucket,action,fill_price,realized_pnl
2023-04-03,2023-04-04,600036.sh,银行,defensive_dividend,BUY_1,27.67383,0.0
2023-04-04,2023-04-06,601318.sh,非银金融,defensive_dividend,BUY_1,38.209095,0.0
2023-04-06,2023-04-07,600000.sh,银行,defensive_dividend,BUY_1,6.143069999999999,0.0
2023-04-12,2023-04-13,000877.sz,建筑材料,cyclical_rotation,BUY_1,8.82441,0.0
2023-04-14,2023-04-17,601166.sh,银行,defensive_dividend,BUY_1,13.276634999999999,0.0
2023-04-24,2023-04-25,600346.sh,石油石化,defensive_dividend,BUY_1,14.757375,0.0
2023-05-25,2023-05-26,000877.sz,建筑材料,cyclical_rotation,SELL_ALL,7.806095,-204.9119752
2023-05-25,2023-05-26,601166.sh,银行,defensive_dividend,BUY_2,12.856425,0.0
2023-05-26,2023-05-29,600018.sh,交通运输,defensive_dividend,BUY_1,4.682339999999999,0.0
2023-09-01,2023-09-04,600346.sh,石油石化,cyclical_rotation,SELL_ALL,13.543225000000001,-244.99691599999946
2023-09-04,2023-09-05,600585.sh,建筑材料,cyclical_rotation,BUY_1,25.492739999999998,0.0
2023-10-19,2023-10-20,600585.sh,建筑材料,cyclical_rotation,SELL_ALL,22.298845,-321.1734075999998
2023-10-20,2023-10-23,601336.sh,非银金融,defensive_dividend,BUY_1,31.55577,0.0
2023-11-27,2023-11-28,601336.sh,非银金融,defensive_dividend,SELL_ALL,27.22638,-435.11711039999983
2023-11-28,2023-11-29,600036.sh,银行,defensive_dividend,SELL_ALL,24.20789,-348.5306312000001
2023-11-29,2023-11-30,000333.sz,家用电器,defensive_dividend,BUY_1,44.88243,0.0
2023-12-01,2023-12-04,601018.sh,交通运输,cyclical_rotation,BUY_1,3.411705,0.0
2023-12-07,2023-12-08,601166.sh,银行,defensive_dividend,SELL_ALL,11.43428,-656.5589695999996
2023-12-20,2023-12-21,601318.sh,非银金融,defensive_dividend,SELL_ALL,33.28335,-495.2371679999997
2024-01-02,2024-01-03,601018.sh,交通运输,cyclical_rotation,BUY_2,3.3516749999999997,0.0
2024-01-02,2024-01-03,000932.sz,钢铁,cyclical_rotation,BUY_1,4.952475,0.0
2024-01-10,2024-01-11,600018.sh,交通运输,cyclical_rotation,BUY_2,4.78239,0.0
2024-05-09,2024-05-10,600018.sh,交通运输,defensive_dividend,REDUCE,5.3773100000000005,320.3215760000003
2024-06-03,2024-06-04,002032.sz,家用电器,defensive_dividend,BUY_1,50.215095,0.0
2024-06-21,2024-06-24,000932.sz,钢铁,cyclical_rotation,SELL_ALL,4.31784,-255.23570879999957
2024-07-23,2024-07-24,002032.sz,家用电器,defensive_dividend,SELL_ALL,44.007985000000005,-624.2316387999994
2024-07-24,2024-07-25,600989.sh,基础化工,cyclical_rotation,BUY_1,15.127559999999999,0.0
2024-07-26,2024-07-29,002032.sz,家用电器,defensive_dividend,BUY_1,47.72385,0.0
2024-09-30,2024-10-08,601018.sh,交通运输,defensive_dividend,REDUCE,4.05797,336.5168120000003
2025-05-13,2025-05-14,600000.sh,银行,defensive_dividend,SELL_ALL,11.57421,1626.5641896000006
2025-05-14,2025-05-15,002532.sz,有色金属,cyclical_rotation,BUY_1,7.44372,0.0
2025-09-01,2025-09-02,002532.sz,有色金属,cyclical_rotation,SELL_ALL,10.1949,822.9072240000003
2025-10-14,2025-10-15,300628.sz,通信,defensive_dividend,BUY_1,35.0175,0.0
2025-12-11,2025-12-12,600989.sh,基础化工,cyclical_rotation,SELL_ALL,17.741125,259.9372100000001
2025-12-12,2025-12-15,600023.sh,公用事业,defensive_dividend,BUY_1,5.16258,0.0
2026-02-27,2026-03-02,600018.sh,交通运输,cyclical_rotation,SELL_ALL,5.0574699999999995,96.31770719999982
2026-03-02,2026-03-03,600690.sh,家用电器,defensive_dividend,BUY_1,25.312649999999998,0.0
2026-03-03,2026-03-04,601018.sh,交通运输,defensive_dividend,SELL_ALL,4.167915,391.4453340000002
2026-03-27,2026-03-30,600690.sh,家用电器,defensive_dividend,SELL_ALL,21.739125,-359.0916299999995
