date,ts_code,name,bucket,side,action,signal_level,shares,price,amount,fee,tax,slippage,slippage_cost,cash_before,cash_after,position_before,position_after,weight_before,weight_after,target_weight,entry_reason,exit_reason,holding_days,realized_pnl,unrealized_pnl_after_trade,market_regime,execution_mode,fill_price_field,execution_adjustment,execution_reason_code
2023-04-04,600036.sh,招商银行,defensive_dividend,BUY,BUY_1,BUY_1,700.0,27.67383,19371.681,5.811504299999999,0.0,0.013829999999998677,9.680999999999074,500000.0,480622.5074957,0.0,700.0,0.0,0.038743362,0.03871,高股息补充触发 BUY_1。,,0,0.0,-79.68100000000256,risk_on,next_bar,open,,
2023-04-06,601318.sh,中国平安,defensive_dividend,BUY,BUY_1,BUY_1,500.0,38.209095,19104.5475,5.7313642499999995,0.0,0.019095000000000084,9.547500000000042,480622.5074957,461512.22863145,0.0,500.0,0.0,0.03821562929970447,0.038217,高股息补充触发 BUY_1。,,0,0.0,-244.54749999999947,risk_on,next_bar,open,,
2023-04-07,600000.sh,浦发银行,defensive_dividend,BUY,BUY_1,BUY_1,3200.0,6.143069999999999,19657.823999999997,5.897347199999999,0.0,0.00306999999999924,9.823999999997568,461512.22863145,441848.50728425,0.0,3200.0,0.0,0.03936854131775769,0.039285,高股息补充触发 BUY_1。,,0,0.0,118.17600000000255,neutral,next_bar,open,,
2023-04-13,000877.sz,天山股份,cyclical_rotation,BUY,BUY_1,BUY_1,1600.0,8.82441,14119.056,4.2357168,0.0,0.004410000000000025,7.05600000000004,441848.50728425,427725.21556745,0.0,1600.0,0.0,0.02826103128465102,0.028279,满足 cyclical BUY_1。,,0,0.0,-119.0560000000005,neutral,next_bar,open,,
2023-04-17,601166.sh,兴业银行,defensive_dividend,BUY,BUY_1,BUY_1,1500.0,13.276634999999999,19914.9525,5.9744857499999995,0.0,0.00663499999999928,9.95249999999892,427725.21556745,407804.2885817,0.0,1500.0,0.0,0.0398146786272669,0.039765,高股息补充触发 BUY_1。,,0,0.0,290.0475000000027,neutral,next_bar,open,,
2023-04-25,600346.sh,恒力石化,defensive_dividend,BUY,BUY_1,BUY_1,1200.0,14.757375,17708.85,5.3126549999999995,0.0,0.007374999999999687,8.849999999999625,407804.2885817,390090.1259267,0.0,1200.0,0.0,0.03542674880067018,0.038334,高股息补充触发 BUY_1。,,0,0.0,-308.8499999999975,neutral,next_bar,open,CLIPPED,ORDER_CLIPPED_AT_FILL
2023-04-28,601866.sh,中远海发,defensive_dividend,BUY,BUY_1,BUY_1,8300.0,2.391195,19846.9185,5.95407555,0.0,0.0011950000000000571,9.918500000000474,390090.1259267,370237.25335115,0.0,8300.0,0.0,0.03964474681877408,0.039625,高股息补充触发 BUY_1。,,0,0.0,239.0814999999979,neutral,next_bar,open,,
2023-05-05,002032.sz,苏 泊 尔,defensive_dividend,BUY,BUY_1,BUY_1,400.0,42.07102499999999,16828.409999999996,5.0485229999999985,0.0,0.02102499999999452,8.409999999997808,370237.25335115,353403.79482815,0.0,400.0,0.0,0.033427623276959556,0.03361,高股息补充触发 BUY_1。,,0,0.0,243.59000000000322,neutral,next_bar,open,,
2023-05-26,000877.sz,天山股份,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,1600.0,7.806095,12489.752,3.7469256,6.2448760000000005,0.0039049999999996032,6.247999999999365,353403.79482815,365883.55502655,1600.0,0.0,0.025102213922186988,0.0,0.0,满足 cyclical BUY_1。,trend_stop,28,-1639.2958016,0.0,neutral,next_bar,open,,
2023-05-26,601166.sh,兴业银行,defensive_dividend,BUY,BUY_2,BUY_2,1600.0,12.856425,20570.28,6.171083999999999,0.0,0.006425000000000125,10.2800000000002,365883.55502655,345307.10394255,1500.0,3100.0,0.0387587436433349,0.08010140352955877,0.079874,满足 defensive BUY_2。,,26,0.0,-402.2325,neutral,next_bar,open,,
2023-05-29,600018.sh,上港集团,defensive_dividend,BUY,BUY_1,BUY_1,4200.0,4.682339999999999,19665.827999999998,5.899748399999999,0.0,0.0023399999999993426,9.827999999997239,345307.10394255,325635.37619415,0.0,4200.0,0.0,0.0395278641001391,0.039593,满足 defensive BUY_1。,,0,0.0,242.17200000000486,neutral,next_bar,open,,
2023-09-04,600346.sh,恒力石化,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,1200.0,13.543225000000001,16251.87,4.875561,8.125935,0.006774999999999309,8.129999999999171,325635.37619415,341874.24469815,1200.0,0.0,0.03248208249392022,0.0,0.0,高股息补充触发 BUY_1。,valuation_reversion_exit,89,-1469.9814959999978,0.0,risk_off,next_bar,open,,
2023-09-05,600585.sh,海螺水泥,cyclical_rotation,BUY,BUY_1,BUY_1,500.0,25.492739999999998,12746.369999999999,3.8239109999999994,0.0,0.012739999999997309,6.3699999999986545,341874.24469815,329124.05078715004,0.0,500.0,0.0,0.02531039155244421,0.025179,满足 cyclical BUY_1。,,0,0.0,-476.3699999999993,risk_off,next_bar,open,,
2023-10-20,600585.sh,海螺水泥,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,500.0,22.298845,11149.4225,3.3448267499999997,5.57471125,0.011154999999998694,5.577499999999347,329124.05078715004,340264.5537491501,500.0,0.0,0.022658017593418595,0.0,0.0,满足 cyclical BUY_1。,trend_stop,27,-1605.8670379999985,0.0,risk_off,next_bar,open,,
2023-10-20,601318.sh,中国平安,defensive_dividend,BUY,BUY_2,BUY_2,400.0,39.73986,15895.944,4.7687832,0.0,0.01986000000000132,7.944000000000528,340264.5537491501,324363.84096595005,500.0,900.0,0.04037995900863887,0.07268392621554998,0.073471,满足 defensive BUY_2。,,130,0.0,963.5084999999954,risk_off,next_bar,open,,
2023-10-23,000333.sz,美的集团,defensive_dividend,BUY,BUY_1,BUY_1,400.0,46.073024999999994,18429.21,5.528763,0.0,0.023024999999996965,9.209999999998786,324363.84096595005,305929.10220295005,0.0,400.0,0.0,0.03745988787450846,0.037588,高股息补充触发 BUY_1。,,0,0.0,90.78999999999837,risk_off,next_bar,open,,
2023-10-24,601866.sh,中远海发,defensive_dividend,SELL,SELL_ALL,SELL_ALL,8300.0,2.0789600000000004,17255.368000000002,5.1766104,8.627684000000002,0.0010399999999997078,8.631999999997575,305929.10220295005,323170.66590855,8300.0,0.0,0.03518465570339155,0.0,0.0,高股息补充触发 BUY_1。,trend_stop,116,-2605.3547943999974,0.0,risk_off,next_bar,open,,
2023-10-25,601336.sh,新华保险,defensive_dividend,BUY,BUY_1,BUY_1,600.0,32.126055,19275.633,5.7826899,0.0,0.016055000000001485,9.63300000000089,323170.66590855,303889.25021865004,0.0,600.0,0.0,0.03928033526904175,0.0386,满足 defensive BUY_1。,,0,0.0,-633.6330000000004,risk_off,next_bar,open,,
2023-11-13,601336.sh,新华保险,defensive_dividend,SELL,SELL_ALL,SELL_ALL,600.0,28.105940000000004,16863.564000000002,5.059069200000001,8.431782000000002,0.014059999999997075,8.435999999998245,303889.25021865004,320739.32336745004,600.0,0.0,0.034769930350914566,0.0,0.0,满足 defensive BUY_1。,trend_stop,13,-2425.5598511999997,0.0,risk_off,next_bar,open,,
2023-11-22,601018.sh,宁波港,cyclical_rotation,BUY,BUY_1,BUY_1,4400.0,3.271635,14395.194,4.318558199999999,0.0,0.001634999999999831,7.1939999999992565,320739.32336745004,306339.81080925005,0.0,4400.0,0.0,0.029634111250098835,0.02971,满足 cyclical BUY_1。,,0,0.0,124.80599999999988,risk_off,next_bar,open,,
2023-11-29,000333.sz,美的集团,defensive_dividend,BUY,BUY_2,BUY_2,300.0,45.60279,13680.837,4.1042511,0.0,0.022790000000000532,6.83700000000016,306339.81080925005,292654.86955815007,400.0,700.0,0.03767106987722127,0.06592437228513723,0.075304,满足 defensive BUY_2。,,27,0.0,-568.0469999999985,risk_off,next_bar,open,CLIPPED,TOTAL_EXPOSURE_CLIPPED_AT_FILL
2023-11-29,600036.sh,招商银行,defensive_dividend,SELL,SELL_ALL,SELL_ALL,700.0,24.20789,16945.523,5.0836569,8.4727615,0.012109999999999843,8.47699999999989,292654.86955815007,309586.8361397501,700.0,0.0,0.03499544551106743,0.0,0.0,高股息补充触发 BUY_1。,trend_stop,159,-2439.7144183999994,0.0,risk_off,next_bar,open,,
2023-12-08,601166.sh,兴业银行,defensive_dividend,SELL,SELL_ALL,SELL_ALL,3100.0,11.43428,35446.268,10.633880399999997,17.723133999999998,0.005720000000000169,17.732000000000525,309586.8361397501,345004.74712535006,3100.0,0.0,0.07410021018253969,0.0,0.0,高股息补充触发 BUY_1。,trend_stop,158,-5067.321514400001,0.0,risk_off,next_bar,open,,
2023-12-14,601318.sh,中国平安,defensive_dividend,SELL,SELL_ALL,SELL_ALL,900.0,34.25286500000001,30827.578500000007,9.24827355,15.413789250000004,0.017134999999996126,15.421499999996513,345004.74712535006,375807.66356255003,900.0,0.0,0.06436468534675141,0.0,0.0,高股息补充触发 BUY_1。,trend_stop,169,-4197.575062799997,0.0,risk_off,next_bar,open,,
2023-12-21,601018.sh,宁波港,cyclical_rotation,BUY,BUY_2,BUY_2,4000.0,3.371685,13486.74,4.046022,0.0,0.0016849999999997145,6.739999999998858,375807.66356255003,362316.87754055,4400.0,8400.0,0.031006224959882745,0.059193702196139786,0.059515,满足 cyclical BUY_2。,,21,0.0,594.0660000000008,risk_off,next_bar,open,,
2024-01-03,000932.sz,华菱钢铁,cyclical_rotation,BUY,BUY_1,BUY_1,2900.0,4.952475,14362.1775,4.30865325,0.0,0.002474999999999561,7.177499999998727,362316.87754055,347950.39138730004,0.0,2900.0,0.0,0.02989181713093684,0.029937,满足 cyclical BUY_1。,,0,0.0,543.8224999999999,risk_off,next_bar,open,,
2024-01-11,600018.sh,上港集团,cyclical_rotation,BUY,BUY_2,BUY_2,1800.0,4.78239,8608.302000000001,2.5824906000000003,0.0,0.0023900000000001143,4.302000000000206,347950.39138730004,339339.5068967,4200.0,6000.0,0.041594405739628,0.05942057962804001,0.059391,满足 cyclical BUY_2。,,154,0.0,525.8700000000011,risk_off,next_bar,open,,
2024-03-04,000333.sz,美的集团,defensive_dividend,SELL,REDUCE,SELL_HALF,400.0,58.020975,23208.39,6.962516999999999,11.604195,0.029024999999997192,11.609999999998877,339339.5068967,362529.3301847,700.0,300.0,0.08248268831117155,0.035349723561930654,0.035045,高股息补充触发 BUY_1。,soft_trim,88,4841.225002285715,3533.5512857142853,neutral,next_bar,open,,
2024-05-07,601021.sh,春秋航空,cyclical_rotation,BUY,BUY_1,BUY_1,200.0,55.537755,11107.551,3.3322652999999995,0.0,0.027754999999999086,5.550999999999817,362529.3301847,351418.4469194,0.0,200.0,0.0,0.022177872883712518,0.022171,满足 cyclical BUY_1。,,0,0.0,-345.55099999999896,risk_on,next_bar,open,,
2024-05-10,600018.sh,上港集团,defensive_dividend,SELL,REDUCE,SELL_HALF,2300.0,5.3773100000000005,12367.813000000002,3.7103439000000003,6.183906500000001,0.002689999999999415,6.186999999998655,351418.4469194,363776.365669,6000.0,3700.0,0.06444066749930703,0.03973841162457267,0.03961,满足 defensive BUY_1。,soft_trim,229,1519.5022496000026,2396.2865000000024,risk_on,next_bar,open,,
2024-06-14,601021.sh,春秋航空,cyclical_rotation,BUY,BUY_2,BUY_2,300.0,54.74735999999999,16424.208,4.927262399999999,0.0,0.0273599999999945,8.20799999999835,363776.365669,347347.23040660005,200.0,500.0,0.02203825372262201,0.05509563430655503,0.05532,满足 cyclical BUY_2。,,27,0.0,-16.75899999999686,neutral,next_bar,open,,
2024-06-24,000932.sz,华菱钢铁,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,2900.0,4.31784,12521.736,3.7565208,6.260868,0.0021599999999999397,6.263999999999825,347347.23040660005,359858.94901780004,2900.0,0.0,0.02527227553691305,0.0,0.0,满足 cyclical BUY_1。,trend_stop,111,-1850.4588887999992,0.0,neutral,next_bar,open,,
2024-07-03,002032.sz,苏 泊 尔,defensive_dividend,BUY,BUY_2,BUY_2,400.0,46.233104999999995,18493.242,5.547972599999999,0.0,0.023104999999993936,9.241999999997574,359858.94901780004,341360.15904520004,400.0,800.0,0.03719365645890496,0.07438731291780992,0.074173,满足 defensive BUY_2。,,282,0.0,942.348000000004,neutral,next_bar,open,,
2024-07-18,600309.sh,万华化学,cyclical_rotation,BUY,BUY_1,BUY_1,100.0,81.12053999999999,8112.053999999999,2.4336161999999995,0.0,0.040539999999992915,4.0539999999992915,341360.15904520004,333245.67142900004,0.0,100.0,0.0,0.01627586005778893,0.016264,满足 cyclical BUY_1。,,0,0.0,-59.05399999999901,neutral,next_bar,open,,
2024-07-25,600989.sh,宝丰能源,cyclical_rotation,BUY,BUY_1,BUY_1,900.0,15.127559999999999,13614.803999999998,4.084441199999999,0.0,0.007559999999999789,6.80399999999981,333245.67142900004,319626.7829878,0.0,900.0,0.0,0.027493175648688757,0.027625,满足 cyclical BUY_1。,,0,0.0,-690.803999999998,neutral,next_bar,open,,
2024-08-22,601021.sh,春秋航空,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,500.0,48.19589,24097.945,7.229383499999999,12.0489725,0.024110000000000298,12.055000000000149,319626.7829878,343705.4496318,500.0,0.0,0.048413092143820446,0.0,0.0,满足 cyclical BUY_1。,trend_stop,76,-3453.0923559999987,0.0,risk_off,next_bar,open,,
2024-08-23,600233.sh,圆通速递,cyclical_rotation,BUY,BUY_1,BUY_1,1000.0,14.247119999999999,14247.119999999999,4.2741359999999995,0.0,0.007119999999998683,7.119999999998683,343705.4496318,329454.0554958,0.0,1000.0,0.0,0.02854107878541239,0.028587,满足 cyclical BUY_1。,,0,0.0,192.88000000000062,risk_off,next_bar,open,,
2024-08-27,600309.sh,万华化学,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,100.0,68.315825,6831.5825,2.04947475,3.4157912500000003,0.03417499999999052,3.417499999999052,329454.0554958,336280.1727298,100.0,0.0,0.013670189960363371,0.0,0.0,满足 cyclical BUY_1。,trend_stop,28,-1285.9367659999987,0.0,risk_off,next_bar,open,,
2024-08-28,300628.sz,亿联网络,defensive_dividend,BUY,BUY_1,BUY_1,600.0,29.964975,17978.985,5.3936955,0.0,0.014974999999999739,8.984999999999843,336280.1727298,318295.79403429996,0.0,600.0,0.0,0.03600772023014544,0.035966,高股息补充触发 BUY_1。,,0,0.0,-14.985000000000781,risk_off,next_bar,open,,
