date,nav,cash,invested_value,exposure,holdings_count
2023-04-04,499914.5074957,480622.5074957,19292.0,0.03859059841380166,1
2023-04-06,499328.22863145,461512.22863145,37816.0,0.07573375153182392,2
2023-04-07,499953.50728425,441848.50728425,58105.0,0.11622080684187347,3
2023-04-10,500174.50728425,441848.50728425,58326.0,0.11661130095711424,3
2023-04-11,499521.50728425,441848.50728425,57673.0,0.1154564901790735,3
2023-04-12,499594.50728425,441848.50728425,57746.0,0.11558573834989093,3
2023-04-13,499548.21556745,427725.21556745,71823.0,0.14377591143712598,4
2023-04-14,500191.21556745,427725.21556745,72466.0,0.14487659467947628,4
2023-04-17,502357.2885817,407804.2885817,94553.0,0.1882186287511633,5
2023-04-18,503894.2885817,407804.2885817,96090.0,0.19069475915367562,5
2023-04-19,503358.2885817,407804.2885817,95554.0,0.18983297219410075,5
2023-04-20,503722.2885817,407804.2885817,95918.0,0.19041841541312463,5
2023-04-21,501182.2885817,407804.2885817,93378.0,0.18631544275886364,5
2023-04-24,499872.2885817,407804.2885817,92068.0,0.18418304455569404,5
2023-04-25,499158.1259267,390090.1259267,109068.0,0.21850390554598792,6
2023-04-26,499067.1259267,390090.1259267,108977.0,0.21836140739112897,6
2023-04-27,500619.1259267,390090.1259267,110529.0,0.22078461304369643,6
2023-04-28,502838.25335115,370237.25335115,132601.0,0.2637050763665746,7
2023-05-04,503428.25335115,370237.25335115,133191.0,0.2645679878183097,7
2023-05-05,505005.79482815,353403.79482815,151602.0,0.3001985354476756,8
2023-05-08,508879.79482815,353403.79482815,155476.0,0.305525983896658,8
2023-05-09,507368.79482815,353403.79482815,153965.0,0.3034577639962056,8
2023-05-10,504725.79482815,353403.79482815,151322.0,0.299810315919206,8
2023-05-11,504139.79482815,353403.79482815,150736.0,0.29899643223241784,8
2023-05-12,502196.79482815,353403.79482815,148793.0,0.29628424859007,8
2023-05-15,504551.79482815,353403.79482815,151148.0,0.2995688481327886,8
2023-05-16,503720.79482815,353403.79482815,150317.0,0.2984133304468447,8
2023-05-17,502382.79482815,353403.79482815,148979.0,0.29654478921986416,8
2023-05-18,502258.79482815,353403.79482815,148855.0,0.2963711169078311,8
2023-05-19,501343.79482815,353403.79482815,147940.0,0.2950869274261401,8
2023-05-22,503368.79482815,353403.79482815,149965.0,0.297922718970289,8
2023-05-23,500664.79482815,353403.79482815,147261.0,0.2941309265624446,8
2023-05-24,497831.79482815,353403.79482815,144428.0,0.29011405358280923,8
2023-05-25,497555.79482815,353403.79482815,144152.0,0.28972027157233377,8
2023-05-26,497518.10394255,345307.10394255,152211.0,0.305940625665305,7
