date,ts_code,name,bucket,side,action,signal_level,shares,price,amount,fee,tax,slippage,slippage_cost,cash_before,cash_after,position_before,position_after,weight_before,weight_after,target_weight,entry_reason,exit_reason,holding_days,realized_pnl,unrealized_pnl_after_trade,market_regime,execution_mode,fill_price_field,execution_adjustment,execution_reason_code
2023-04-04,600036.sh,招商银行,defensive_dividend,BUY,BUY_1,BUY_1,700.0,27.67383,19371.681,5.811504299999999,0.0,0.013829999999998677,9.680999999999074,500000.0,480622.5074957,0.0,700.0,0.0,0.038743362,0.03871,高股息补充触发 BUY_1。,,0,0.0,-79.68100000000256,risk_on,next_bar,open,,
2023-04-04,601318.sh,中国平安,defensive_dividend,BUY,BUY_1,BUY_1,500.0,38.329155,19164.5775,5.74937325,0.0,0.019154999999997813,9.577499999998906,480622.5074957,461452.18062244996,0.0,500.0,0.0,0.038329155,0.03832,高股息补充触发 BUY_1。,,0,0.0,-59.57749999999962,risk_on,next_bar,open,,
2023-04-07,600000.sh,浦发银行,defensive_dividend,BUY,BUY_1,BUY_1,3200.0,6.143069999999999,19657.823999999997,5.897347199999999,0.0,0.00306999999999924,9.823999999997568,461452.18062244996,441788.45927525,0.0,3200.0,0.0,0.039373276253039206,0.03929,高股息补充触发 BUY_1。,,0,0.0,118.17600000000255,neutral,next_bar,open,,
2023-04-13,000877.sz,天山股份,cyclical_rotation,BUY,BUY_1,BUY_1,1600.0,8.82441,14119.056,4.2357168,0.0,0.004410000000000025,7.05600000000004,441788.45927525,427665.16755844996,0.0,1600.0,0.0,0.028264428485043146,0.028282,满足 cyclical BUY_1。,,0,0.0,-119.0560000000005,neutral,next_bar,open,,
2023-04-17,601166.sh,兴业银行,defensive_dividend,BUY,BUY_1,BUY_1,1500.0,13.276634999999999,19914.9525,5.9744857499999995,0.0,0.00663499999999928,9.95249999999892,427665.16755844996,407744.2405727,0.0,1500.0,0.0,0.03981945895757947,0.03977,高股息补充触发 BUY_1。,,0,0.0,290.0475000000027,neutral,next_bar,open,,
2023-04-25,600346.sh,恒力石化,defensive_dividend,BUY,BUY_1,BUY_1,1200.0,14.757375,17708.85,5.3126549999999995,0.0,0.007374999999999687,8.849999999999625,407744.2405727,390030.0779177,0.0,1200.0,0.0,0.035431005010418834,0.038338,高股息补充触发 BUY_1。,,0,0.0,-308.8499999999975,neutral,next_bar,open,CLIPPED,ORDER_CLIPPED_AT_FILL
2023-04-28,601866.sh,中远海发,defensive_dividend,BUY,BUY_1,BUY_1,8300.0,2.391195,19846.9185,5.95407555,0.0,0.0011950000000000571,9.918500000000474,390030.0779177,370177.20534215,0.0,8300.0,0.0,0.03964950267721077,0.03963,高股息补充触发 BUY_1。,,0,0.0,239.0814999999979,neutral,next_bar,open,,
2023-05-05,002032.sz,苏 泊 尔,defensive_dividend,BUY,BUY_1,BUY_1,400.0,42.07102499999999,16828.409999999996,5.0485229999999985,0.0,0.02102499999999452,8.409999999997808,370177.20534215,353343.74681915,0.0,400.0,0.0,0.033431610938877976,0.033614,高股息补充触发 BUY_1。,,0,0.0,243.59000000000322,neutral,next_bar,open,,
2023-05-08,000651.sz,格力电器,defensive_dividend,BUY,BUY_1,BUY_1,700.0,27.99399,19595.793,5.8787379,0.0,0.013989999999999725,9.792999999999807,353343.74681915,333742.07508125,0.0,700.0,0.0,0.038807719687593244,0.03858,高股息补充触发 BUY_1。,,0,0.0,-492.7930000000032,neutral,next_bar,open,,
2023-05-22,600018.sh,上港集团,defensive_dividend,BUY,BUY_1,BUY_1,4100.0,4.872434999999999,19976.9835,5.993095049999999,0.0,0.002434999999999299,9.983499999997125,333742.07508125,313759.0984862,0.0,4100.0,0.0,0.03987962538984907,0.039942,满足 defensive BUY_1。,,0,0.0,-50.983499999996255,neutral,next_bar,open,,
2023-05-25,600999.sh,招商证券,defensive_dividend,BUY,BUY_1,BUY_1,1500.0,12.706349999999999,19059.524999999998,5.717857499999999,0.0,0.006349999999999412,9.524999999999118,313759.0984862,294693.8556287,0.0,1500.0,0.0,0.038399125658988724,0.038591,满足 defensive BUY_1。,,0,0.0,170.47500000000238,neutral,next_bar,open,,
2023-05-25,601211.sh,国泰海通,defensive_dividend,BUY,BUY_1,BUY_1,1500.0,13.006499999999999,19509.75,5.852924999999999,0.0,0.006499999999999062,9.749999999998593,294693.8556287,275178.2527037,0.0,1500.0,0.0,0.039306191619437277,0.039347,高股息补充触发 BUY_1。,,0,0.0,125.24999999999852,neutral,next_bar,open,,
2023-05-26,000877.sz,天山股份,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,1600.0,7.806095,12489.752,3.7469256,6.2448760000000005,0.0039049999999996032,6.247999999999365,275178.2527037,287658.0129021,1600.0,0.0,0.025167948881154478,0.0,0.0,满足 cyclical BUY_1。,trend_stop,28,-1639.2958016,0.0,neutral,next_bar,open,,
2023-05-26,601166.sh,兴业银行,defensive_dividend,BUY,BUY_2,BUY_2,1500.0,12.856425,19284.6375,5.78539125,0.0,0.006425000000000125,9.637500000000188,287658.0129021,268367.59001085,1500.0,3000.0,0.03886024084318045,0.0777204816863609,0.0775,满足 defensive BUY_2。,,26,0.0,-409.5899999999961,neutral,next_bar,open,,
2023-05-30,000333.sz,美的集团,defensive_dividend,BUY,BUY_1,BUY_1,400.0,44.072025,17628.809999999998,5.288642999999999,0.0,0.022024999999999295,8.809999999999718,268367.59001085,250733.49136785,0.0,400.0,0.0,0.035497541492620854,0.03548,满足 defensive BUY_1。,,0,0.0,-456.8099999999987,neutral,next_bar,open,,
