date,nav,cash,invested_value,exposure,holdings_count
2023-04-04,499849.18062244996,461452.18062244996,38397.0,0.07681717103584156,2
2023-04-06,499268.18062244996,461452.18062244996,37816.0,0.07574286018558976,2
2023-04-07,499893.45927525,441788.45927525,58105.0,0.1162347674727354,3
2023-04-10,500114.45927525,441788.45927525,58326.0,0.11662530230484476,3
2023-04-11,499461.45927525,441788.45927525,57673.0,0.11547037099456514,3
2023-04-12,499534.45927525,441788.45927525,57746.0,0.11559963267355136,3
2023-04-13,499488.16755844996,427665.16755844996,71823.0,0.14379319604522023,4
2023-04-14,500131.16755844996,427665.16755844996,72466.0,0.1448939892184003,4
2023-04-17,502297.2405727,407744.2405727,94553.0,0.1882411296789015,5
2023-04-18,503834.2405727,407744.2405727,96090.0,0.19071748655029103,5
2023-04-19,503298.2405727,407744.2405727,95554.0,0.18985562097588438,5
2023-04-20,503662.2405727,407744.2405727,95918.0,0.19044111762464935,5
2023-04-21,501122.2405727,407744.2405727,93378.0,0.18633776839216787,5
2023-04-24,499812.2405727,407744.2405727,92068.0,0.1842051725153944,5
2023-04-25,499098.0779177,390030.0779177,109068.0,0.21853019441598617,6
2023-04-26,499007.0779177,390030.0779177,108977.0,0.21838768390770863,6
2023-04-27,500559.0779177,390030.0779177,110529.0,0.22081109878137653,6
2023-04-28,502778.20534215,370177.20534215,132601.0,0.26373657129740247,7
2023-05-04,503368.20534215,370177.20534215,133191.0,0.2645995487725874,7
2023-05-05,504945.74681915,353343.74681915,151602.0,0.30023423497474744,8
2023-05-08,508321.07508125,333742.07508125,174579.0,0.34344238033430996,9
2023-05-09,506852.07508125,333742.07508125,173110.0,0.3415394915217619,9
2023-05-10,504153.07508125,333742.07508125,170411.0,0.33801440162303154,9
2023-05-11,503161.07508125,333742.07508125,169419.0,0.33670927341238066,9
2023-05-12,501400.07508125,333742.07508125,167658.0,0.3343796866660454,9
2023-05-15,503895.07508125,333742.07508125,170153.0,0.33767545748003963,9
2023-05-16,502637.07508125,333742.07508125,168895.0,0.3360177917092538,9
2023-05-17,501411.07508125,333742.07508125,167669.0,0.33439428910266983,9
2023-05-18,501511.07508125,333742.07508125,167769.0,0.3345270091449519,9
2023-05-19,500932.07508125,333742.07508125,167190.0,0.33375782529573933,9
2023-05-22,503166.0984862,313759.0984862,189407.0,0.37643036875862723,10
2023-05-23,499988.0984862,313759.0984862,186229.0,0.37246686583908767,10
2023-05-24,496353.0984862,313759.0984862,182594.0,0.3678711799259104,10
2023-05-25,496256.2527037,275178.2527037,221078.0,0.4454916160663454,12
2023-05-26,496545.59001085,268367.59001085,228178.0,0.4595308156800146,11
2023-05-29,496620.59001085,268367.59001085,228253.0,0.4596124377263802,11
2023-05-30,495042.49136785,250733.49136785,244309.0,0.493511171788407,12
2023-05-31,492637.49136785,250733.49136785,241904.0,0.4910385511430178,12
2023-06-01,491829.49136785,250733.49136785,241096.0,0.49020240597910597,12
2023-06-02,497364.49136785,250733.49136785,246631.0,0.4958757697432648,12
2023-06-05,497370.49136785,250733.49136785,246637.0,0.49588185121660117,12
2023-06-06,496503.49136785,250733.49136785,245770.0,0.4950015544158856,12
2023-06-07,498209.49136785,250733.49136785,247476.0,0.4967308015761538,12
2023-06-08,502463.49136785,250733.49136785,251730.0,0.5009916229231275,12
2023-06-09,501387.49136785,250733.49136785,250654.0,0.49992072860889175,12
2023-06-12,501459.49136785,250733.49136785,250726.0,0.4999925304356793,12
2023-06-13,501955.49136785,250733.49136785,251222.0,0.5004866055263374,12
2023-06-14,502260.49136785,250733.49136785,251527.0,0.5007899373390777,12
2023-06-15,504596.49136785,250733.49136785,253863.0,0.5031010011818221,12
2023-06-16,504786.49136785,250733.49136785,254053.0,0.5032880323551795,12
2023-06-19,501007.49136785,250733.49136785,250274.0,0.4995414326374687,12
2023-06-20,500300.49136785,250733.49136785,249567.0,0.49883420925226285,12
2023-06-21,499161.49136785,250733.49136785,248428.0,0.49769063578849776,12
2023-06-26,495590.49136785,250733.49136785,244857.0,0.49407122264227604,12
2023-06-27,499247.49136785,250733.49136785,248514.0,0.49777716322442705,12
2023-06-28,500655.49136785,250733.49136785,249922.0,0.4991895710904589,12
2023-06-29,498429.49136785,250733.49136785,247696.0,0.49695293775703947,12
2023-06-30,499477.49136785,250733.49136785,248744.0,0.4980084274044045,12
2023-07-03,504193.49136785,250733.49136785,253460.0,0.5027038316428413,12
2023-07-04,503110.49136785,250733.49136785,252377.0,0.5016333476048985,12
2023-07-05,502152.49136785,250733.49136785,251419.0,0.5006825701793122,12
2023-07-06,500535.49136785,250733.49136785,249802.0,0.49906950517604215,12
2023-07-07,500905.49136785,250733.49136785,250172.0,0.49943952364515243,12
2023-07-10,500520.49136785,250733.49136785,249787.0,0.49905449288872933,12
2023-07-11,501872.49136785,250733.49136785,251139.0,0.5004039956753207,12
2023-07-12,502302.49136785,250733.49136785,251569.0,0.5008316787657919,12
2023-07-13,505506.49136785,250733.49136785,254773.0,0.5039955061914433,12
2023-07-14,504608.49136785,250733.49136785,253875.0,0.5031128178438241,12
2023-07-17,503449.49136785,250733.49136785,252716.0,0.5019689250522069,12
2023-07-18,503299.49136785,250733.49136785,252566.0,0.5018204952156515,12
2023-07-19,505298.49136785,250733.49136785,254565.0,0.5037913319528998,12
2023-07-20,503952.49136785,250733.49136785,253219.0,0.5024660148275125,12
2023-07-21,503417.49136785,250733.49136785,252684.0,0.5019372674426252,12
2023-07-24,501826.49136785,250733.49136785,251093.0,0.5003582001332474,12
2023-07-25,510386.49136785,250733.49136785,259653.0,0.5087379944248186,12
2023-07-26,510542.49136785,250733.49136785,259809.0,0.5088881031310781,12
2023-07-27,510562.49136785,250733.49136785,259829.0,0.5089073412030153,12
2023-07-28,519189.49136785,250733.49136785,268456.0,0.5170674762555946,12
2023-07-31,520775.49136785,250733.49136785,270042.0,0.5185382270788463,12
2023-08-01,519510.49136785,250733.49136785,268777.0,0.5173658751189434,12
2023-08-02,517162.56198164995,230809.56198164998,286353.0,0.5537001729258206,13
2023-08-03,519635.56198164995,230809.56198164998,288826.0,0.5558241604915396,13
2023-08-04,520133.56198164995,230809.56198164998,289324.0,0.5562494350445457,13
2023-08-07,518047.56198164995,230809.56198164998,287238.0,0.5544626035903908,13
2023-08-08,517220.56198164995,230809.56198164998,286411.0,0.553750220027334,13
2023-08-09,516855.56198164995,230809.56198164998,286046.0,0.5534350813664177,13
2023-08-10,517331.56198164995,230809.56198164998,286522.0,0.5538459685360606,13
2023-08-11,509277.56198164995,230809.56198164998,278468.0,0.5467902393273585,13
2023-08-14,507137.56198164995,230809.56198164998,276328.0,0.5448778018339697,13
2023-08-15,508352.56198164995,230809.56198164998,277543.0,0.5459655773506625,13
2023-08-16,507639.56198164995,230809.56198164998,276830.0,0.5453278679056279,13
2023-08-17,506958.56198164995,230809.56198164998,276149.0,0.544717104531308,13
2023-08-18,504879.56198164995,230809.56198164998,274070.0,0.5428423343663913,13
2023-08-21,500304.56198164995,230809.56198164998,269495.0,0.53866188813582,13
2023-08-22,501244.56198164995,230809.56198164998,270435.0,0.5395270502902739,13
2023-08-23,498546.56198164995,230809.56198164998,267737.0,0.5370350944469147,13
2023-08-24,499207.56198164995,230809.56198164998,268398.0,0.5376481055987407,13
2023-08-25,499518.56198164995,230809.56198164998,268709.0,0.5379359656506041,13
2023-08-28,503398.56198164995,230809.56198164998,272589.0,0.5414973752148631,13
2023-08-29,502479.56198164995,230809.56198164998,271670.0,0.5406588059593976,13
2023-08-30,501144.56198164995,230809.56198164998,270335.0,0.5394351660347831,13
2023-08-31,500555.56198164995,230809.56198164998,269746.0,0.5388932228264576,13
2023-09-01,504065.56198164995,230809.56198164998,273256.0,0.5421040844880167,13
2023-09-04,508931.43048564997,247048.43048565,261882.99999999997,0.5145742320337673,12
2023-09-05,506332.43048564997,247048.43048565,259283.99999999997,0.5120825457522188,12
2023-09-06,506366.43048564997,247048.43048565,259317.99999999997,0.512115306994761,12
2023-09-07,504213.43048564997,247048.43048565,257164.99999999997,0.5100320309839881,12
2023-09-08,503315.43048564997,247048.43048565,256266.99999999997,0.5091578451165852,12
2023-09-11,504305.43048564997,247048.43048565,257256.99999999997,0.5101214154133925,12
2023-09-12,505595.43048564997,247048.43048565,258546.99999999997,0.5113713147123432,12
2023-09-13,504748.43048564997,247048.43048565,257699.99999999997,0.5105513646710119,12
2023-09-14,506114.43048564997,247048.43048565,259065.99999999997,0.5118723837836616,12
2023-09-15,503602.43048564997,247048.43048565,256553.99999999997,0.5094375731121703,12
2023-09-18,504014.43048564997,247048.43048565,256965.99999999997,0.50983857694788,12
2023-09-19,505064.43048564997,247048.43048565,258015.99999999997,0.5108575944496864,12
2023-09-20,504563.43048564997,247048.43048565,257514.99999999997,0.5103719065651228,12
2023-09-21,503407.43048564997,247048.43048565,256358.99999999997,0.5092475487552576,12
2023-09-22,507405.43048564997,247048.43048565,260356.99999999997,0.5131143349230732,12
2023-09-25,505505.43048564997,247048.43048565,258456.99999999997,0.5112843194418204,12
2023-09-26,504386.43048564997,247048.43048565,257337.99999999997,0.5102000855816469,12
2023-09-27,504636.43048564997,247048.43048565,257587.99999999997,0.5104427354800831,12
2023-09-28,503506.43048564997,247048.43048565,256457.99999999997,0.5093440410535315,12
2023-10-09,502659.43048564997,247048.43048565,255610.99999999997,0.5085172673534416,12
2023-10-10,499538.43048564997,247048.43048565,252489.99999999997,0.5054465974810584,12
2023-10-11,498527.43048564997,247048.43048565,251478.99999999997,0.5044436567011307,12
2023-10-12,501311.43048564997,247048.43048565,254262.99999999997,0.5071956962036162,12
2023-10-13,499019.43048564997,247048.43048565,251970.99999999997,0.504932242327277,12
2023-10-16,498631.43048564997,247048.43048565,251582.99999999997,0.5045470153274669,12
2023-10-17,499995.43048564997,247048.43048565,252946.99999999997,0.5058986234220387,12
2023-10-18,497946.43048564997,247048.43048565,250897.99999999997,0.5038654454361642,12
2023-10-19,492331.43048564997,247048.43048565,245282.99999999997,0.4982070711147686,12
2023-10-20,491515.91101685,264353.91101685,227162.0,0.46216611692192505,11
2023-10-23,488976.91101685,264353.91101685,224623.0,0.4593734283544925,11
2023-10-24,490244.47472244996,281595.47472244996,208649.0,0.425601940986945,10
2023-10-25,490870.47472244996,281595.47472244996,209275.0,0.42633446250424645,10
2023-10-26,492025.47472244996,281595.47472244996,210430.0,0.42768110760668016,10
