variant,category,description,recommendation_class,release_eligible,initial_capital,min_trade_value,round_lot,max_single_stock_weight,tranche_weights,portfolio_max_positions,max_new_positions_per_day,max_adds_per_day,lot_aware_sizing,pending_add_state_enabled,raw_buy_signal_count,unique_raw_buy_intent_count,repeat_raw_buy_intent_count,repeat_raw_buy_intent_ratio,account_feasible_buy_signal_count,executable_buy_count,executable_new_position_buy_count,executable_add_buy_count,executable_raw_buy_ratio,executable_unique_raw_intent_ratio,delta_executable_raw_buy_ratio,delta_executable_buy_count,executable_account_feasible_buy_ratio,pending_buy_intent_count,full_portfolio_raw_buy_intent_count,full_portfolio_raw_buy_intent_ratio,new_position_raw_intent_count,add_position_raw_intent_count,lot_size_zero_block_count,price_too_high_for_account_lot_count,cash_insufficient_for_one_lot_count,lot_size_accumulation_required_count,max_positions_block_ratio,cash_block_ratio,annual_return,cumulative_return,max_drawdown,delta_max_drawdown,average_exposure,max_exposure,average_positions,max_positions_seen,turnover,transaction_cost_as_pct_of_initial_capital,buy_trades,total_trades,status,warnings,violations
baseline_50k_lot_aware,baseline,当前 50k lot-aware release/default 研究复现口径。,current_default_reference,True,50000.0,1500.0,100,0.12,"{'1': 0.03, '2': 0.06, '3': 0.09}",8,1,2,True,True,629,159,470,0.7472178060413355,426,23,20,3,0.03656597774244833,0.14465408805031446,0.0,0,0.0539906103286385,47,402,0.6391096979332274,579,50,0,30,139,18,0.6391096979332274,0.0,0.024846220411411934,0.07326562069200016,-0.08876605706976393,0.0,0.4458773619428774,0.550110755601559,7.027548209366391,8,2.04219921,0.0020743793079998824,23,41,WARN,"[{'code': 'ACCOUNT_CONSTRAINTS_DOMINATE_EXECUTION', 'actual': 0.03656597774244833, 'expected': '>=0.25'}]",[]
no_lot_aware_50k,execution_mechanism,关闭 lot-aware 和 pending，观察整手前置规划本身的贡献。,research_only,False,50000.0,1500.0,100,0.12,"{'1': 0.03, '2': 0.06, '3': 0.09}",8,1,2,False,False,1145,1145,0,0.0,12,12,12,0,0.010480349344978166,0.010480349344978166,-0.026085628397470167,-11,1.0,0,0,0.0,1111,34,783,0,0,0,0.0,0.0,0.01957303760622886,0.05743295907599988,-0.04275365621662608,0.04601240085313785,0.1486486399884844,0.2630416573727037,3.703856749311295,6,0.8027113799999999,0.0008270409239999513,12,21,WARN,"[{'code': 'ACCOUNT_CONSTRAINTS_DOMINATE_EXECUTION', 'actual': 0.010480349344978166, 'expected': '>=0.25'}]",[]
min_trade_1000_50k,min_trade_value,把最小成交额从 1500 降到 1000，隔离最小成交额门槛影响。,research_only,False,50000.0,1000.0,100,0.12,"{'1': 0.03, '2': 0.06, '3': 0.09}",8,1,2,True,True,674,164,510,0.7566765578635015,482,22,19,3,0.032640949554896145,0.13414634146341464,-0.003925028187552186,-1,0.04564315352697095,34,459,0.6810089020771514,637,37,0,30,151,0,0.6810089020771514,0.0,0.04429832903327369,0.13300735073299985,-0.06623799256690965,0.022528064502854273,0.4261694512576496,0.5551616485352262,7.276859504132231,8,1.6888006399999997,0.0017126492669999058,22,39,WARN,"[{'code': 'ACCOUNT_CONSTRAINTS_DOMINATE_EXECUTION', 'actual': 0.032640949554896145, 'expected': '>=0.25'}]",[]
min_trade_500_50k,min_trade_value,把最小成交额从 1500 降到 500，作为最小成交额敏感性上限。,research_only,False,50000.0,500.0,100,0.12,"{'1': 0.03, '2': 0.06, '3': 0.09}",8,1,2,True,True,674,165,509,0.755192878338279,482,22,19,3,0.032640949554896145,0.13333333333333333,-0.003925028187552186,-1,0.04564315352697095,34,459,0.6810089020771514,637,37,0,30,151,0,0.6810089020771514,0.0,0.045312708373504096,0.1361808711260002,-0.06659553128943962,0.0221705257803243,0.42643774690370434,0.5546266423669921,7.276859504132231,8,1.6370790799999997,0.0016591288739999086,22,39,WARN,"[{'code': 'ACCOUNT_CONSTRAINTS_DOMINATE_EXECUTION', 'actual': 0.032640949554896145, 'expected': '>=0.25'}]",[]
capital_100k_lot_aware,capital_scale,本金、现金、权益同步提高到 100k，其他 50k lot-aware 执行规则保持不变。,research_only,False,100000.0,1500.0,100,0.12,"{'1': 0.03, '2': 0.06, '3': 0.09}",8,1,2,True,True,555,152,403,0.7261261261261261,531,28,24,4,0.05045045045045045,0.18421052631578946,0.013884472708002117,5,0.05273069679849341,24,502,0.9045045045045045,527,28,0,0,0,20,0.9045045045045045,0.0,0.010406794875133185,0.03027581596250073,-0.06057380335488716,0.02819225371487677,0.3074341353374072,0.3996287428574329,7.24931129476584,8,1.69020055,0.0017341840374999072,28,50,WARN,"[{'code': 'ACCOUNT_CONSTRAINTS_DOMINATE_EXECUTION', 'actual': 0.05045045045045045, 'expected': '>=0.25'}]",[]
capital_200k_lot_aware,capital_scale,本金、现金、权益同步提高到 200k，其他 50k lot-aware 执行规则保持不变。,research_only,False,200000.0,1500.0,100,0.12,"{'1': 0.03, '2': 0.06, '3': 0.09}",8,1,2,True,True,538,158,380,0.7063197026022305,538,31,24,7,0.05762081784386617,0.1962025316455696,0.021054840101417838,8,0.05762081784386617,0,506,0.9405204460966543,531,7,0,0,0,0,0.9405204460966543,0.0,0.01097833563515671,0.03195567000999988,-0.06147117196425722,0.027294885105506705,0.26942143877761193,0.3653354693317251,7.2245179063360885,8,1.8378904000000005,0.001904329989999905,31,55,WARN,"[{'code': 'ACCOUNT_CONSTRAINTS_DOMINATE_EXECUTION', 'actual': 0.05762081784386617, 'expected': '>=0.25'}]",[]
daily_limits_3_5,daily_limits,每日新开 3 只、加仓 5 次，作为日内节流放宽上限。,research_only,False,50000.0,1500.0,100,0.12,"{'1': 0.03, '2': 0.06, '3': 0.09}",8,3,5,True,True,628,158,470,0.7484076433121019,425,23,20,3,0.03662420382165605,0.14556962025316456,5.822607920771827e-05,0,0.05411764705882353,47,402,0.6401273885350318,578,50,0,30,139,18,0.6401273885350318,0.0,0.02497844423804474,0.07366459691200022,-0.08873486816744403,3.118890231990079e-05,0.44568541914695314,0.5499128162889761,7.026170798898072,8,2.04307901,0.00207540308799988,23,41,WARN,"[{'code': 'ACCOUNT_CONSTRAINTS_DOMINATE_EXECUTION', 'actual': 0.03662420382165605, 'expected': '>=0.25'}]",[]
max_positions_12_50k,portfolio_capacity,50k 下把最大持仓数从 8 提到 12，测试 MAX_POSITIONS_LIMIT 是否主导 raw 分母。,more_positions_same_capital,False,50000.0,1500.0,100,0.12,"{'1': 0.03, '2': 0.06, '3': 0.09}",12,1,2,True,True,481,131,350,0.7276507276507277,168,31,27,3,0.06444906444906445,0.2366412213740458,0.02788308670661612,8,0.18452380952380953,35,132,0.27442827442827444,443,38,0,46,233,8,0.27442827442827444,0.0,0.034744612325752655,0.10340174742200015,-0.12057013058268584,-0.031804073512921915,0.5322196791732757,0.7059689922055731,9.606060606060606,12,2.6825961599999997,0.0027582525779998525,30,54,WARN,"[{'code': 'ACCOUNT_CONSTRAINTS_DOMINATE_EXECUTION', 'actual': 0.06444906444906445, 'expected': '>=0.25'}]",[]
max_positions_20_50k,portfolio_capacity,50k 下把最大持仓数从 8 提到 20，作为固定本金下持仓容量上限。,more_positions_same_capital,False,50000.0,1500.0,100,0.12,"{'1': 0.03, '2': 0.06, '3': 0.09}",20,1,2,True,True,371,116,255,0.6873315363881402,43,38,35,3,0.10242587601078167,0.3275862068965517,0.06585989826833333,15,0.8837209302325582,35,0,0.0,333,38,0,51,243,8,0.0,0.0,0.06707544821630029,0.2056710137000004,-0.12057013058268584,-0.031804073512921915,0.6232732501322094,0.9476015480047565,11.953168044077135,19,3.3560287,0.0034489862999998104,38,66,WARN,"[{'code': 'ACCOUNT_CONSTRAINTS_DOMINATE_EXECUTION', 'actual': 0.10242587601078167, 'expected': '>=0.25'}]",[]
capital_200k_maxpos20,capital_and_capacity,本金 200k 且最大持仓 20，测试资金规模和持仓容量同时放宽后的可执行上限。,research_only_reference_scale,False,200000.0,1500.0,100,0.12,"{'1': 0.03, '2': 0.06, '3': 0.09}",20,3,5,True,True,264,112,152,0.5757575757575758,79,50,39,8,0.1893939393939394,0.44642857142857145,0.15282796165149107,27,0.6329113924050633,24,29,0.10984848484848485,229,35,2,0,173,0,0.10984848484848485,0.045454545454545456,0.05102680295605233,0.15416607263325055,-0.08958269015643161,-0.0008166330866676841,0.467591146505727,0.6831325490035065,13.356749311294767,20,2.7263216225000004,0.0028039273667498548,47,79,WARN,"[{'code': 'ACCOUNT_CONSTRAINTS_DOMINATE_EXECUTION', 'actual': 0.1893939393939394, 'expected': '>=0.25'}]",[]
