industry,trade_count,buy_count,sell_count,realized_pnl,unrealized_pnl,total_pnl,contribution_pct_of_total_pnl,avg_exposure,max_exposure,avg_holding_days_including_open,avg_holding_days_realized_only,win_rate_realized,profit_factor_realized,max_drawdown_while_held
非银金融,11,6,5,9715.527241200003,1706.1900000000012,11421.717241200004,0.25949189195460115,0.08751365179189,0.15115006896109084,313.2,218.25,0.6,6.898056807703449,-0.1881156366898662
银行,13,8,5,7444.087100000004,2120.6759999999995,9564.763100000004,0.21730344224979184,0.09634776765944479,0.1857876789030815,271.3333333333333,193.4,0.6,3.7914578117919433,-0.22801245291751004
基础化工,4,2,2,6698.990918000002,0.0,6698.990918000002,0.1521954878403097,0.04426825915548358,0.06878626924757159,268.5,268.5,1.0,inf,-0.06938329594678871
有色金属,6,3,3,5749.089292000002,0.0,5749.089292000002,0.13061451495364468,0.049096998587770196,0.07471319475328894,177.0,177.0,0.6666666666666666,10.818836491555896,-0.12466553271065228
建筑材料,6,3,3,5202.481799199999,0.0,5202.481799199999,0.11819604849471387,0.0453011666988606,0.0585826012710971,199.0,199.0,0.3333333333333333,4.928786796252495,-0.13421973820346067
通信,3,2,1,3655.2354120000005,473.9454999999999,4129.180912000001,0.09381154728753655,0.03298171261156126,0.0784006512754446,405.0,0.0,1.0,inf,-0.04254780450665152
公用事业,7,5,2,2060.977438400001,-209.0424999999999,1851.934938400001,0.04207441760235298,0.08738652041594532,0.15547012285337394,249.5,396.0,0.5,3.3666966914845022,-0.14167879045375142
钢铁,4,2,2,1380.4273508000006,0.0,1380.4273508000006,0.03136215836904533,0.02756924712818154,0.03195220529015968,127.5,127.5,0.5,2.966705930252232,-0.13780483495625928
交通运输,13,7,6,-321.29612399999587,0.0,-321.29612399999587,-0.007299580031074166,0.0951623555899763,0.18994247505711623,315.0,315.0,0.5,0.8994032389632778,-0.13545032537882673
石油石化,2,1,1,-612.4922899999989,0.0,-612.4922899999989,-0.013915314114623233,0.03443183339958439,0.03709626681327237,90.0,90.0,0.0,0.0,-0.11840689824579231
家用电器,7,4,3,-2439.198243599998,1390.1009999999999,-1049.0972435999981,-0.023834614606298814,0.055245888037880955,0.10190304031926001,236.75,86.33333333333333,0.0,0.0,-0.12552658624226132
