ts_code,name,bucket,industry,total_trades,buy_count,sell_count,first_buy_date,last_sell_date,is_open_position,open_position_days,realized_holding_days,total_holding_days_to_end,holding_days_total,realized_pnl,unrealized_pnl,total_pnl,contribution_pct_of_total_pnl,max_single_position_weight,max_drawdown_while_held
000333.sz,美的集团,defensive_dividend,家用电器,1,1,0,2023-12-28,,True,546,0,546,546,0.0,2983.6755,2983.6755,0.8106286580555655,0.09637168235169496,0.012614793915152633
000786.sz,北新建材,cyclical_rotation,建筑材料,2,1,1,2025-04-09,2025-09-23,False,0,116,116,116,-350.54242879999964,0.0,-350.54242879999964,-0.09523815128343627,0.05307193214426051,-0.13165263078626488
000877.sz,天山股份,cyclical_rotation,建筑材料,2,1,1,2023-04-13,2023-05-26,False,0,29,29,29,-204.9119752,0.0,-204.9119752,-0.05567211296130941,0.035339866096314745,-0.13421973820346067
000921.sz,海信家电,defensive_dividend,家用电器,2,1,1,2025-12-17,2026-03-05,False,0,49,49,49,-286.27648079999983,0.0,-286.27648079999983,-0.07777786809047221,0.04707618145741925,-0.1225317573771254
000932.sz,华菱钢铁,cyclical_rotation,钢铁,2,1,1,2024-01-03,2024-06-24,False,0,112,112,112,-255.23570879999957,0.0,-255.23570879999957,-0.06934446460830099,0.04108202107835752,-0.13780483495625928
002032.sz,苏 泊 尔,defensive_dividend,家用电器,1,1,0,2023-05-05,,True,707,0,707,707,0.0,388.89750000000095,388.89750000000095,0.10565876166699933,0.0830674368985096,-0.07323389434890137
002532.sz,天山铝业,cyclical_rotation,有色金属,2,1,1,2025-05-15,2025-09-02,False,0,78,78,78,822.9072240000003,0.0,822.9072240000003,0.2235739706597956,0.04137845699512424,-0.02468120778320515
300628.sz,亿联网络,defensive_dividend,通信,1,1,0,2024-07-31,,True,405,0,405,405,0.0,192.45050000000035,192.45050000000035,0.05228648040214926,0.06188071512893403,-0.05629631134739166
600000.sh,浦发银行,defensive_dividend,银行,2,1,1,2023-04-07,2025-05-14,False,0,507,507,507,1626.5641896000006,0.0,1626.5641896000006,0.4419178782198959,0.03693988647779011,-0.06073022120861382
600018.sh,上港集团,cyclical_rotation,交通运输,4,2,2,2023-05-29,2026-03-02,False,0,667,667,667,372.6172832000006,0.0,372.6172832000006,0.10123562305911857,0.07880271763854886,-0.08091931045971246
600023.sh,浙能电力,defensive_dividend,公用事业,1,1,0,2025-11-04,,True,101,0,101,101,0.0,74.95600000000024,74.95600000000024,0.020364641427398245,0.0382642676645767,-0.05985704465774766
600036.sh,招商银行,defensive_dividend,银行,2,1,1,2023-04-04,2023-11-29,False,0,160,160,160,-348.5306312000001,0.0,-348.5306312000001,-0.0946915701325145,0.05534765999999999,-0.13925900390368806
600233.sh,圆通速递,cyclical_rotation,交通运输,2,1,1,2024-08-01,2025-04-08,False,0,164,164,164,-380.4962423999994,0.0,-380.4962423999994,-0.10337624127419243,0.05483896723467104,-0.13545032537882673
600346.sh,恒力石化,cyclical_rotation,石油石化,2,1,1,2023-04-25,2023-09-04,False,0,90,90,90,-244.99691599999946,0.0,-244.99691599999946,-0.06656270805750547,0.05906172162632504,-0.11840689824579231
600690.sh,海尔智家,defensive_dividend,家用电器,2,1,1,2025-12-30,2026-03-25,False,0,54,54,54,-310.37666119999955,0.0,-310.37666119999955,-0.08432559652023906,0.04885462248325255,-0.120304152484632
600989.sh,宝丰能源,cyclical_rotation,基础化工,2,1,1,2024-07-25,2025-12-12,False,0,337,337,337,259.9372100000001,0.0,259.9372100000001,0.07062180579657802,0.030308783078155915,-0.10692801747274505
601018.sh,宁波港,defensive_dividend,交通运输,4,2,2,2023-11-29,2026-03-04,False,0,545,545,545,742.9696460000002,0.0,742.9696460000002,0.20185589455455152,0.06985858669073178,-0.08515281735061131
601166.sh,兴业银行,defensive_dividend,银行,3,2,1,2023-04-17,2023-12-08,False,0,159,159,159,-656.5589695999996,0.0,-656.5589695999996,-0.17837915566260223,0.10314129487835089,-0.12371532457354795
601318.sh,中国平安,defensive_dividend,非银金融,2,1,1,2023-04-06,2023-12-21,False,0,175,175,175,-495.2371679999997,0.0,-495.2371679999997,-0.1345499672853427,0.07643686079614369,-0.12350711263901948
601866.sh,中远海发,defensive_dividend,交通运输,2,1,1,2023-04-28,2023-10-24,False,0,117,117,117,-251.1185343999998,0.0,-251.1185343999998,-0.0682258779661368,0.03810110585114656,-0.13432405136343972
