signal_date,ts_code,industry,metric,current_value,window_start,window_end,max_source_date_used,pass_or_fail
2025-12-02,002622.sz,医药生物,stock_pb_q_blended,96.3056255247691,2021-01-04,2025-12-02,2025-12-02,PASS
2025-08-05,601866.sh,交通运输,stock_pb_q_blended,16.416174255590313,2015-01-05,2025-08-05,2025-08-05,PASS
2023-04-11,002571.sz,轻工制造,stock_pb_q_blended,10.727272727272727,2021-01-04,2023-04-11,2023-04-11,PASS
2024-07-19,300446.sz,电子,stock_pb_q_blended,17.70956316410862,2021-01-04,2024-07-19,2024-07-19,PASS
2024-10-25,605009.sh,美容护理,stock_pb_q_blended,27.65726681127983,2021-01-04,2024-10-25,2024-10-25,PASS
2025-02-05,688466.sh,环保,stock_pe_ttm_q_blended,96.96356275303644,2021-01-04,2025-02-05,2025-02-05,PASS
2023-09-05,002062.sz,建筑装饰,stock_pe_ttm_q_blended,40.69565217391305,2021-04-23,2023-09-05,2023-09-05,PASS
2024-09-11,002611.sz,机械设备,stock_pe_ttm_q_blended,63.25802615933412,2021-03-30,2024-09-11,2024-09-11,PASS
2025-01-10,600503.sh,房地产,stock_pe_ttm_q_blended,55.754475703324815,2021-04-27,2025-01-10,2025-01-10,PASS
2026-01-13,688508.sh,电子,stock_pe_ttm_q_blended,10.63094209161625,2021-04-08,2026-01-13,2026-01-13,PASS
2023-04-24,002965.sz,汽车,industry_pb_q_blended,19.943785231555015,2015-01-05,2023-04-24,2023-04-24,PASS
2023-09-26,000635.sz,基础化工,industry_pb_q_blended,61.01101484317281,2015-01-05,2023-09-26,2023-09-26,PASS
2024-10-10,601798.sh,机械设备,industry_pb_q_blended,39.443742098609356,2015-01-05,2024-10-10,2024-10-10,PASS
2025-06-13,002437.sz,医药生物,industry_pb_q_blended,55.77777777777778,2015-01-05,2025-06-13,2025-06-13,PASS
2024-08-07,688185.sh,医药生物,industry_pb_q_blended,43.796792753090955,2015-01-05,2024-08-07,2024-08-07,PASS
2023-04-24,002965.sz,汽车,industry_pe_ttm_q_blended,17.77509328013595,2015-04-24,2023-04-24,2023-04-24,PASS
2023-09-26,000635.sz,基础化工,industry_pe_ttm_q_blended,83.41658782718386,2015-01-22,2023-09-26,2023-09-26,PASS
2024-10-10,601798.sh,机械设备,industry_pe_ttm_q_blended,76.64992686494392,2015-02-13,2024-10-10,2024-10-10,PASS
2025-06-13,002437.sz,医药生物,industry_pe_ttm_q_blended,90.76916027036316,2015-03-12,2025-06-13,2025-06-13,PASS
2024-08-07,688185.sh,医药生物,industry_pe_ttm_q_blended,63.246450915591026,2015-03-12,2024-08-07,2024-08-07,PASS
