date,ts_code,name,bucket,intended_action,intended_signal_level,intended_target_weight,current_weight,close,stock_valuation_quantile,stock_valuation_quantile_source_field,industry_valuation_quantile,industry_valuation_quantile_source_field,valuation_fallback_used,valuation_fallback_reason,reason_code,reason_detail,lot_notional,minimum_lot_order_value,max_single_position_value,remaining_single_name_capacity,execution_eligible_for_new_buy,execution_ineligible_reason,pending_add_state,pending_reason,pending_until_condition,repeated_blocked_signal_suppressed,user_visible_action,rule_path
2024-02-01,002705.sz,新宝股份,defensive_dividend,BUY_1,BUY_1,0.03,0.0,11.22,,,,,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。,,,,,False,MIN_TRADE_AMOUNT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2024-02-02,002705.sz,新宝股份,defensive_dividend,BUY_1,BUY_1,0.03,0.0,10.82,,,,,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。,,,,,False,MIN_TRADE_AMOUNT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2024-02-05,002705.sz,新宝股份,defensive_dividend,BUY_1,BUY_1,0.03,0.0,10.22,,,,,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。,,,,,False,MIN_TRADE_AMOUNT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2024-02-06,002705.sz,新宝股份,defensive_dividend,BUY_1,BUY_1,0.03,0.0,11.34,,,,,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。,,,,,False,MIN_TRADE_AMOUNT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2024-02-07,002705.sz,新宝股份,defensive_dividend,BUY_1,BUY_1,0.03,0.0,12.3,,,,,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。,,,,,False,MIN_TRADE_AMOUNT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2024-02-08,002705.sz,新宝股份,defensive_dividend,BUY_1,BUY_1,0.03,0.0,12.58,,,,,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。,,,,,False,MIN_TRADE_AMOUNT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2024-02-19,002705.sz,新宝股份,defensive_dividend,BUY_1,BUY_1,0.03,0.0,12.68,,,,,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。,,,,,False,MIN_TRADE_AMOUNT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2024-03-12,002271.sz,东方雨虹,cyclical_rotation,BUY_1,BUY_1,0.03,0.0,14.52,,,,,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。,,,,,False,MIN_TRADE_AMOUNT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2024-03-13,002271.sz,东方雨虹,cyclical_rotation,BUY_1,BUY_1,0.03,0.0,14.32,,,,,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。,,,,,False,MIN_TRADE_AMOUNT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2024-03-14,002271.sz,东方雨虹,cyclical_rotation,BUY_1,BUY_1,0.03,0.0,14.63,,,,,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。,,,,,False,MIN_TRADE_AMOUNT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2024-03-15,002271.sz,东方雨虹,cyclical_rotation,BUY_1,BUY_1,0.03,0.0,14.67,,,,,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。,,,,,False,MIN_TRADE_AMOUNT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2024-03-18,002271.sz,东方雨虹,cyclical_rotation,BUY_1,BUY_1,0.03,0.0,14.5,,,,,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。,,,,,False,MIN_TRADE_AMOUNT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2024-03-19,002271.sz,东方雨虹,cyclical_rotation,BUY_1,BUY_1,0.03,0.0,14.12,,,,,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。,,,,,False,MIN_TRADE_AMOUNT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2024-04-26,600585.sh,海螺水泥,cyclical_rotation,BUY_1,BUY_1,0.03,0.0,20.87,,,,,False,,LOT_SIZE_ZERO,目标变动低于整手约束，无法下达可执行订单。,,,,,False,LOT_SIZE_ZERO,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2025-02-27,000012.sz,南  玻Ａ,cyclical_rotation,BUY_1,BUY_1,0.03,0.0,4.92,,,,,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。,,,,,False,MIN_TRADE_AMOUNT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
