refresh_date,raw_a_share_count,after_non_st_count,after_listed_days_count,after_liquidity_count,after_market_cap_count,after_industry_available_count,after_core_fields_count,defensive_candidates_count,cyclical_candidates_count,candidate_pool_size,effective_universe_size,retained_count,new_count,dropped_count,avg_final_score,min_final_score,max_final_score,industry_count,max_names_per_industry_observed
2023-04-03,4821,4821,2871,2754,1696,541,469,18,86,104,14,12,2,3,74.60515,60.2443,89.411,9,2
2023-05-04,4826,4826,2884,2758,1660,532,464,0,24,48,14,5,9,9,76.45807142857143,60.8125,87.9251,9,2
2023-06-01,4869,4869,2943,2809,1667,529,460,1,23,24,6,2,4,12,79.12293333333334,68.0077,86.6492,4,2
2023-07-03,4902,4902,2985,2851,1710,547,475,1,23,24,7,5,2,1,75.66225714285714,66.7587,86.0417,4,2
2023-08-01,4938,4938,3029,2894,1756,558,484,1,25,26,7,4,3,3,74.59054285714286,66.2992,84.1008,4,2
2023-09-01,4964,4964,3065,2946,1719,549,463,8,72,80,14,3,11,4,77.36269285714285,64.3461,86.7579,9,2
2023-10-09,4975,4975,3094,2966,1714,545,461,7,72,78,14,12,2,2,76.93735,60.2438,87.1217,9,2
2023-11-01,4989,4989,3125,2982,1713,542,460,11,85,97,16,12,4,2,79.33805,64.5331,91.0241,9,2
2023-12-01,4997,4997,3157,3010,1792,559,471,11,85,96,16,15,1,1,79.59693125,61.8845,89.9196,9,2
2024-01-02,5008,5008,3190,3058,1773,558,470,12,89,98,16,16,0,0,79.7921625,60.3628,91.6627,9,2
2024-02-01,5021,5021,3229,3091,1465,486,417,12,79,92,17,13,4,3,79.47771176470587,58.4779,91.329,9,2
2024-03-01,5026,5026,3240,3105,1601,519,448,8,89,97,17,15,2,2,77.1706705882353,57.8038,90.5432,9,2
2024-04-01,5033,5033,3260,3124,1667,533,457,9,87,99,17,13,4,4,77.51921176470587,60.0405,91.2047,9,2
2024-05-06,5035,5035,3275,3125,1640,543,475,0,6,6,3,0,3,17,70.62873333333333,68.6369,72.906,2,2
2024-06-03,5039,5039,3282,3139,1577,531,468,0,6,6,4,3,1,0,69.82717500000001,68.1429,71.9513,2,2
2024-07-01,5044,5044,3290,3134,1492,515,459,0,6,6,4,4,0,0,73.01644999999999,71.364,74.2302,2,2
2024-08-01,5048,5048,3296,3125,1494,510,456,0,8,9,5,4,1,0,71.6969,61.444,78.4347,3,2
2024-09-02,5054,5054,3306,3113,1415,500,444,9,63,65,13,1,12,4,79.85637692307692,62.0294,90.5162,9,2
2024-10-08,5058,5058,3310,3146,1830,588,506,8,65,72,15,12,3,1,72.36680666666668,57.7086,82.5105,9,2
2024-11-01,5060,5060,3311,3169,1787,580,492,18,81,100,14,10,4,5,77.37569285714287,63.998,83.6227,9,2
2024-12-02,5071,5071,3322,3178,1940,628,530,19,78,96,16,12,4,2,77.23219999999999,65.1959,86.3657,9,2
2025-01-02,5076,5076,3329,3123,1778,565,490,20,76,96,16,11,5,5,76.82013125,64.4376,85.4902,9,2
2025-02-05,5092,5092,3340,3155,1788,576,502,21,79,97,16,14,2,2,77.49695,68.9027,86.1931,9,2
2025-03-03,5092,5092,3345,3144,1866,587,510,21,78,99,15,12,3,4,78.24739333333333,71.0115,86.7595,9,2
2025-04-01,5105,5105,3358,3191,1891,606,525,23,83,107,16,13,3,2,77.59400624999999,70.8475,87.0994,9,2
2025-05-06,5113,5113,3367,3224,1896,612,535,0,13,13,5,0,5,16,74.79426000000001,66.7873,83.04,4,2
2025-06-03,5109,5109,3367,3233,1974,631,546,0,13,13,6,4,2,1,74.53611666666667,60.2745,82.9148,4,2
2025-07-01,5124,5124,3385,3249,2037,653,561,0,14,14,7,6,1,0,70.85775714285714,62.2139,79.1029,5,2
2025-08-01,5133,5133,3401,3265,2112,675,578,2,15,17,8,6,2,1,72.01410000000001,62.7476,82.5079,6,2
2025-09-01,5135,5135,3415,3274,2199,687,579,9,65,69,10,4,6,4,74.71021999999999,63.9847,82.0368,8,2
2025-10-09,5137,5137,3447,3284,2178,683,573,8,65,74,12,9,3,1,74.095975,60.0144,84.6891,9,2
2025-11-03,5149,5149,3458,3294,2239,695,579,24,90,114,13,11,2,1,71.85580769230768,52.6148,83.9032,9,2
2025-12-01,5146,5146,3465,3289,2235,686,574,22,91,114,12,11,1,2,71.10499166666668,50.9134,84.165,9,2
2026-01-05,5169,5169,3489,3327,2297,698,584,23,93,116,10,10,0,2,71.06150999999998,53.1246,82.9284,8,2
2026-02-02,5173,5173,3518,3354,2345,715,598,22,95,117,11,10,1,0,68.7189181818182,52.6548,82.505,9,2
2026-03-02,5176,5176,3534,3373,2387,741,619,25,95,118,12,11,1,0,67.399175,52.768,80.292,9,2
2026-04-01,5190,5190,3562,3380,2294,707,601,23,117,142,14,12,2,0,70.47672857142858,50.0605,83.3992,10,2
