check_id,check_name,status,expected,actual,diff,evidence,recommendation
CFG-001,config/strategy_v2.yml sha256 matches RC manifest,PASS,2d1d303f0e845a0d44279c4c60438604bad1e10cd3eea6e5c6a0152b5c7b2a04,2d1d303f0e845a0d44279c4c60438604bad1e10cd3eea6e5c6a0152b5c7b2a04,,config/strategy_v2.yml,配置未漂移。
CFG-002,config/universe_rules_v2.yml sha256 matches RC manifest,PASS,edf1b3ed04cd63dca1ca546f1a07641e84e1f3808aac166abef34e895264c2a8,edf1b3ed04cd63dca1ca546f1a07641e84e1f3808aac166abef34e895264c2a8,,config/universe_rules_v2.yml,配置未漂移。
MET-annual_return,annual_return strict RC metric,PASS,0.0713520247687258,0.07135202476872582,1.3877787807814457e-17,in-memory rerun,annual_return 必须在容差 1e-10 内复现。
MET-cumulative_return,cumulative_return strict RC metric,PASS,0.2196444045310004,0.21964440453100043,2.7755575615628914e-17,in-memory rerun,cumulative_return 必须在容差 1e-10 内复现。
MET-max_drawdown,max_drawdown strict RC metric,PASS,-0.0936454742991675,-0.09364547429916759,-8.326672684688674e-17,in-memory rerun,max_drawdown 必须在容差 1e-10 内复现。
MET-final_nav,final_nav strict RC metric,PASS,243928.8809062001,243928.8809062001,0.0,in-memory rerun,final_nav 必须在容差 1e-06 内复现。
MET-total_trades,total_trades strict RC metric,PASS,76,76,0,in-memory rerun,total_trades 必须等于 76。
OUT-001,combined_v2 trades detailed hash,PASS,6a1e6a6859c8dfa0e399bf0f900aadad6a3920e36ce3e2cb95a090d6c8643cec,6a1e6a6859c8dfa0e399bf0f900aadad6a3920e36ce3e2cb95a090d6c8643cec,,reports/backtest/combined_v2_trades_detailed.csv,交易明细文件 hash 漂移但严格指标一致时标记 WARN；若指标也漂移则整体 FAIL。
OUT-009,reports/backtest/attribution/combined_v2_monthly_returns.csv key output hash,PASS,263bbbd73a5fd9755ae77c2c4aa7172d981fba302f3bb4d89092f2b1b58f847d,263bbbd73a5fd9755ae77c2c4aa7172d981fba302f3bb4d89092f2b1b58f847d,,reports/backtest/attribution/combined_v2_monthly_returns.csv,报告或辅助产物 hash 漂移；若严格指标完全一致，作为 WARN 处理并建议刷新审计报告。
OUT-010,reports/backtest/attribution/combined_v2_position_attribution.csv key output hash,PASS,33927cc57ed658b2d379757b57c4607cd5f3f0dce8b643ca57c9fc4bf37bc778,33927cc57ed658b2d379757b57c4607cd5f3f0dce8b643ca57c9fc4bf37bc778,,reports/backtest/attribution/combined_v2_position_attribution.csv,报告或辅助产物 hash 漂移；若严格指标完全一致，作为 WARN 处理并建议刷新审计报告。
OUT-011,reports/backtest/attribution/combined_v2_regime_attribution.csv key output hash,PASS,b6319a00e0e386751d2490b47f1c5024c2071f6c090019c823750e3ee7934ba2,b6319a00e0e386751d2490b47f1c5024c2071f6c090019c823750e3ee7934ba2,,reports/backtest/attribution/combined_v2_regime_attribution.csv,报告或辅助产物 hash 漂移；若严格指标完全一致，作为 WARN 处理并建议刷新审计报告。
OUT-012,reports/backtest/attribution/combined_v2_signal_attribution.csv key output hash,PASS,fc94e98ea51b2478dd0f30cd4fd77f2fb252389f298595359c0dd0188dd3daaf,fc94e98ea51b2478dd0f30cd4fd77f2fb252389f298595359c0dd0188dd3daaf,,reports/backtest/attribution/combined_v2_signal_attribution.csv,报告或辅助产物 hash 漂移；若严格指标完全一致，作为 WARN 处理并建议刷新审计报告。
OUT-013,reports/backtest/attribution/combined_v2_trade_attribution.csv key output hash,PASS,b396b30200aa348ab6d4dc48dc84d1540ad3c2bbc0ed11657f904b34a64f37a2,b396b30200aa348ab6d4dc48dc84d1540ad3c2bbc0ed11657f904b34a64f37a2,,reports/backtest/attribution/combined_v2_trade_attribution.csv,报告或辅助产物 hash 漂移；若严格指标完全一致，作为 WARN 处理并建议刷新审计报告。
