ts_code,name,bucket,industry,total_trades,buy_count,sell_count,first_buy_date,last_sell_date,is_open_position,open_position_days,realized_holding_days,total_holding_days_to_end,holding_days_total,realized_pnl,unrealized_pnl,total_pnl,contribution_pct_of_total_pnl,max_single_position_weight,max_drawdown_while_held
000001.sz,平安银行,defensive_dividend,银行,1,1,0,2025-01-14,,True,294,0,294,294,0.0,360.2899999999996,360.2899999999996,0.01056855161566925,0.035269688001423063,-0.04764598832659139
000651.sz,格力电器,defensive_dividend,家用电器,2,1,1,2023-05-08,2023-12-21,False,0,156,156,156,-649.2388175999998,0.0,-649.2388175999998,-0.019044419647233284,0.027732439958386684,-0.12552658624226132
000786.sz,北新建材,cyclical_rotation,建筑材料,2,1,1,2024-09-27,2025-09-15,False,0,235,235,235,-709.4595751999993,0.0,-709.4595751999993,-0.020810902716511648,0.029518875394465086,-0.12296541767297531
000877.sz,天山股份,cyclical_rotation,建筑材料,2,1,1,2023-04-18,2023-05-26,False,0,26,26,26,-614.7359256000005,0.0,-614.7359256000005,-0.018032330510726984,0.026356905743052775,-0.13421973820346067
000921.sz,海信家电,defensive_dividend,家用电器,2,1,1,2025-12-17,2026-03-05,False,0,49,49,49,-858.829442399999,0.0,-858.829442399999,-0.02519243745610714,0.033433023440173064,-0.1225317573771254
002032.sz,苏 泊 尔,defensive_dividend,家用电器,1,1,0,2023-06-01,,True,688,0,688,688,0.0,1390.1009999999999,1390.1009999999999,0.040776469425999766,0.039350282386703316,-0.0004997501249375258
002532.sz,天山铝业,cyclical_rotation,有色金属,4,2,2,2024-10-10,2025-09-02,False,0,200,200,200,1608.9029152000012,0.0,1608.9029152000012,0.04719468623578772,0.028250919660302336,-0.12466553271065228
300628.sz,亿联网络,defensive_dividend,通信,1,1,0,2024-07-31,,True,405,0,405,405,0.0,384.9010000000007,384.9010000000007,0.011290477352751177,0.031215304368317612,-0.05629631134739166
600000.sh,浦发银行,defensive_dividend,银行,2,1,1,2023-04-07,2025-05-14,False,0,507,507,507,7048.444821600004,0.0,7048.444821600004,0.20675526078235967,0.039978840562358085,-0.06073022120861382
600011.sh,华能国际,defensive_dividend,公用事业,1,1,0,2025-03-28,,True,247,0,247,247,0.0,411.72949999999923,411.72949999999923,0.01207745003315021,0.03933414162825549,-0.008106296927639756
600018.sh,上港集团,cyclical_rotation,交通运输,2,1,1,2023-05-22,2026-03-02,False,0,672,672,672,289.5824384000005,0.0,289.5824384000005,0.008494454320746537,0.03894000237116213,-0.09696075986647312
600023.sh,浙能电力,defensive_dividend,公用事业,1,1,0,2025-11-04,,True,101,0,101,101,0.0,318.563000000001,318.563000000001,0.009344554409898852,0.03834706147906419,-0.05985704465774766
600027.sh,华电国际,defensive_dividend,公用事业,1,1,0,2025-03-19,,True,254,0,254,254,0.0,-939.3350000000002,-939.3350000000002,-0.027553943856073407,0.039869880892711165,-0.10828899275852277
600036.sh,招商银行,defensive_dividend,银行,3,2,1,2023-04-04,2023-11-29,True,367,160,527,527,-697.0612624000001,1708.916,1011.8547375999998,0.02968119853974597,0.032069234579335415,-0.22801245291751004
600176.sh,中国巨石,cyclical_rotation,建筑材料,2,1,1,2024-09-30,2026-02-11,False,0,333,333,333,6526.677299999999,0.0,6526.677299999999,0.19145001505416995,0.027669069734615984,-0.10493882298081025
600346.sh,恒力石化,cyclical_rotation,石油石化,2,1,1,2023-04-25,2023-09-04,False,0,90,90,90,-612.4922899999989,0.0,-612.4922899999989,-0.017966516919882467,0.036891509764500514,-0.11840689824579231
600690.sh,海尔智家,defensive_dividend,家用电器,2,1,1,2025-12-30,2026-03-25,False,0,54,54,54,-931.1299835999992,0.0,-931.1299835999992,-0.02731326235136658,0.03428244867405187,-0.120304152484632
600803.sh,新奥股份,defensive_dividend,公用事业,4,2,2,2023-08-02,2026-03-04,False,0,404,404,404,2437.165438400001,0.0,2437.165438400001,0.07149049024856537,0.034402985043433254,-0.1171030384898929
600926.sh,杭州银行,defensive_dividend,银行,2,1,1,2025-02-26,2025-06-23,False,0,79,79,79,1801.1037575999994,0.0,1801.1037575999994,0.052832601591416506,0.03807090276802063,-0.016836306957962344
600999.sh,招商证券,defensive_dividend,非银金融,1,1,0,2023-05-25,,True,693,0,693,693,0.0,1706.1900000000012,1706.1900000000012,0.05004845286058106,0.038420937417685264,-0.05716433122021658
601018.sh,宁波港,defensive_dividend,交通运输,4,2,2,2024-03-01,2026-03-04,False,0,485,485,485,2420.939919599999,0.0,2420.939919599999,0.07101453967283794,0.05964088545365763,-0.07135421731065084
601021.sh,春秋航空,cyclical_rotation,交通运输,5,3,2,2024-05-07,2026-03-02,False,0,276,276,276,-1428.7376903999993,0.0,-1428.7376903999993,-0.04190981716462983,0.055548337595464944,-0.11970955161688568
601166.sh,兴业银行,defensive_dividend,银行,3,2,1,2023-04-17,2023-12-08,False,0,159,159,159,-1969.6769088000008,0.0,-1969.6769088000008,-0.057777435057438965,0.0777476295069491,-0.12371532457354795
601211.sh,国泰海通,defensive_dividend,非银金融,2,1,1,2023-05-25,2024-10-14,False,0,335,335,335,3575.2923576000003,0.0,3575.2923576000003,0.1048756885353561,0.039328518616528224,-0.07200246030830726
601318.sh,中国平安,defensive_dividend,非银金融,2,1,1,2023-04-04,2023-12-19,False,0,174,174,174,-950.5695104000002,0.0,-950.5695104000002,-0.027883490896066673,0.038329155000000004,-0.12207821956941134
601601.sh,中国太保,defensive_dividend,非银金融,2,1,1,2025-04-23,2026-01-07,False,0,174,174,174,3406.7371727999994,0.0,3406.7371727999994,0.0999313820859751,0.02823048077227492,-0.04307413680846761
601688.sh,华泰证券,defensive_dividend,非银金融,2,1,1,2025-04-08,2025-12-29,False,0,180,180,180,4690.8947700000035,0.0,4690.8947700000035,0.13760016514590476,0.03464033589573347,-0.0018850588565729742
601838.sh,成都银行,defensive_dividend,银行,2,1,1,2024-09-25,2024-12-26,False,0,62,62,62,1261.2766920000013,0.0,1261.2766920000013,0.03699760698615725,0.03486125451596043,0.016643058038467773
601866.sh,中远海发,defensive_dividend,交通运输,2,1,1,2023-04-28,2023-10-24,False,0,117,117,117,-1035.8639543999993,0.0,-1035.8639543999993,-0.030385471894550677,0.03937428573112568,-0.13432405136343972
603799.sh,华友钴业,cyclical_rotation,有色金属,2,1,1,2025-01-15,2025-09-02,False,0,154,154,154,4140.186376800001,0.0,4140.186376800001,0.12144598357351445,0.02723503047934894,-0.01915616681807719
