attribution_type,entry_signal_level,exit_action,exit_reason,trade_count,realized_pnl,unrealized_pnl,total_pnl,avg_holding_days,win_rate,avg_win,avg_loss,profit_factor
entry_signal,BUY_1,,,35,28907.279586685727,5341.3555000000015,34248.635086685725,236.45714285714286,0.5714285714285714,2270.9372705142864,-744.6740215733331,4.066096403213303
entry_signal,BUY_2,,,3,-157.87098748571464,0.0,-157.87098748571464,213.66666666666666,0.3333333333333333,1525.4898881142851,-841.6804377999999,0.9062167894157307
exit_signal,,REDUCE,soft_trim,1,641.2017167999995,0.0,641.2017167999995,146.0,1.0,641.2017167999995,0.0,inf
exit_signal,,SELL_ALL,cycle_peak_trap_trend_break,1,-585.5163487999993,0.0,-585.5163487999993,122.0,0.0,0.0,-585.5163487999993,0.0
exit_signal,,SELL_ALL,trend_stop,13,-10684.434712399998,0.0,-10684.434712399998,110.92307692307692,0.0,0.0,-821.8795932615383,0.0
exit_signal,,SELL_ALL,valuation_reversion_exit,15,39378.15794360001,0.0,39378.15794360001,277.2,0.8666666666666667,3078.641775507693,-322.0925689999997,62.12863464353946
entry_exit_pair,BUY_1,OPEN,open_position,8,0.0,5341.3555000000015,5341.3555000000015,381.125,0.875,897.2415000000003,-939.3350000000002,6.686315851107433
entry_exit_pair,BUY_1,REDUCE,soft_trim,1,641.2017167999995,0.0,641.2017167999995,146.0,1.0,641.2017167999995,0.0,inf
entry_exit_pair,BUY_1,SELL_ALL,cycle_peak_trap_trend_break,1,-585.5163487999993,0.0,-585.5163487999993,122.0,0.0,0.0,-585.5163487999993,0.0
entry_exit_pair,BUY_1,SELL_ALL,trend_stop,11,-9001.073836799998,0.0,-9001.073836799998,114.45454545454545,0.0,0.0,-818.2794397090908,0.0
entry_exit_pair,BUY_1,SELL_ALL,valuation_reversion_exit,14,37852.66805548573,0.0,37852.66805548573,264.2857142857143,0.8571428571428571,3208.071099457144,-322.0925689999997,59.760542307770166
entry_exit_pair,BUY_2,SELL_ALL,trend_stop,2,-1683.3608755999999,0.0,-1683.3608755999999,91.5,0.0,0.0,-841.6804377999999,0.0
entry_exit_pair,BUY_2,SELL_ALL,valuation_reversion_exit,1,1525.4898881142851,0.0,1525.4898881142851,458.0,1.0,1525.4898881142851,0.0,inf
