date,signal_date,ts_code,symbol,name,industry,bucket,side,action,signal_level,shares,price,amount,fee,tax,slippage,slippage_cost,cash_before,cash_after,position_before,position_after,weight_before,weight_after,target_weight,entry_date,entry_reason,exit_reason,holding_days,avg_cost_before,realized_pnl,unrealized_pnl_after_trade,market_regime,execution_mode,fill_price_field,execution_adjustment,execution_reason_code
2023-04-07,2023-04-06,600000.sh,600000.sh,浦发银行,银行,defensive_dividend,BUY,BUY_1,BUY_1,300.0,6.143069999999999,1842.9209999999996,0.5528762999999999,0.0,0.00306999999999924,0.920999999999772,50000.0,48156.5261237,0.0,300.0,0.0,0.03685841999999999,0.03678,2023-04-07,高股息补充触发 BUY_1。,,0,0.0,0.0,11.079000000000239,neutral,next_bar,open,,
2023-04-28,2023-04-27,601866.sh,601866.sh,中远海发,交通运输,defensive_dividend,BUY,BUY_1,BUY_1,800.0,2.391195,1912.9560000000001,0.5738868,0.0,0.0011950000000000571,0.9560000000000457,48156.5261237,46242.9962369,0.0,800.0,0.0,0.038193788666119395,0.038175,2023-04-28,高股息补充触发 BUY_1。,,0,0.0,0.0,23.043999999999798,neutral,next_bar,open,,
2023-05-22,2023-05-19,600018.sh,600018.sh,上港集团,交通运输,defensive_dividend,BUY,BUY_1,BUY_1,400.0,4.872434999999999,1948.9739999999997,0.5846921999999999,0.0,0.002434999999999299,0.9739999999997195,46242.9962369,44293.4375447,0.0,400.0,0.0,0.03893120823183312,0.038992,2023-05-22,满足 defensive BUY_1。,,0,0.0,0.0,-4.973999999999634,neutral,next_bar,open,,
2023-08-02,2023-08-01,600803.sh,600803.sh,新奥股份,公用事业,defensive_dividend,BUY,BUY_1,BUY_1,100.0,16.598295,1659.8295,0.49794885,0.0,0.008295000000000385,0.8295000000000385,44293.4375447,42633.110095849996,0.0,100.0,0.0,0.033018003842200404,0.03322,2023-08-02,高股息补充触发 BUY_1。,,0,0.0,0.0,8.170499999999947,risk_on,next_bar,open,,
2023-09-15,2023-09-14,600926.sh,600926.sh,杭州银行,银行,defensive_dividend,BUY,BUY_1,BUY_1,200.0,9.96498,1992.996,0.5978988,0.0,0.004979999999999762,0.9959999999999525,42633.110095849996,40639.51619705,0.0,200.0,0.0,0.03992291029132544,0.039823,2023-09-15,满足 defensive BUY_1。,,0,0.0,0.0,-40.996000000000166,risk_off,next_bar,open,,
2023-10-20,2023-10-19,600803.sh,600803.sh,新奥股份,公用事业,defensive_dividend,SELL,SELL_ALL,SELL_ALL,100.0,14.432780000000001,1443.278,0.43298339999999996,0.721639,0.00721999999999845,0.721999999999845,40639.51619705,42081.63957465,100.0,0.0,0.029352508609348096,0.0,0.0,2023-08-02,高股息补充触发 BUY_1。,trend_stop,51,16.598295,-217.70612240000005,0.0,risk_off,next_bar,open,,
2023-10-24,2023-10-23,601866.sh,601866.sh,中远海发,交通运输,defensive_dividend,SELL,SELL_ALL,SELL_ALL,800.0,2.0789600000000004,1663.1680000000003,0.49895040000000007,0.8315840000000002,0.0010399999999997078,0.8319999999997663,42081.63957465,43743.47704025,800.0,0.0,0.0338636683089242,0.0,0.0,2023-04-28,高股息补充触发 BUY_1。,trend_stop,116,2.391195,-251.1185343999998,0.0,risk_off,next_bar,open,,
2023-11-29,2023-11-28,600926.sh,600926.sh,杭州银行,银行,defensive_dividend,SELL,SELL_ALL,SELL_ALL,200.0,8.645675,1729.1350000000002,0.5187405,0.8645675000000002,0.00432499999999969,0.864999999999938,43743.47704025,45471.22873225,200.0,0.0,0.03518114747353179,0.0,0.0,2023-09-15,满足 defensive BUY_1。,trend_stop,47,9.96498,-265.2443079999999,0.0,risk_off,next_bar,open,,
2024-09-12,2024-09-11,600803.sh,600803.sh,新奥股份,公用事业,defensive_dividend,BUY,BUY_1,BUY_1,100.0,16.248119999999997,1624.8119999999997,0.48744359999999987,0.0,0.008119999999998129,0.8119999999998129,45471.22873225,43845.92928865,0.0,100.0,0.0,0.032491542546770794,0.032695,2024-09-12,满足 defensive BUY_1。,,0,0.0,0.0,26.1880000000005,risk_off,next_bar,open,,
2024-11-25,2024-11-22,002532.sz,002532.sz,天山铝业,有色金属,cyclical_rotation,BUY,BUY_1,BUY_1,200.0,7.5637799999999995,1512.7559999999999,0.4538267999999999,0.0,0.0037799999999998946,0.7559999999999789,43845.92928865,42332.71946185,0.0,200.0,0.0,0.02992301683111297,0.02975,2024-11-25,满足 cyclical BUY_1。,,0,0.0,0.0,-4.755999999999894,risk_on,next_bar,open,,
